Model,Config,N_dev,cpb,PP,TP,dev_util,tok_lat_ms,TTFT_s,tput_inst,energy_mJ,power_W,lanes
Llama2-7B,"PP x32, lanes=32",8,8,32,1,1.0,11.092375997802733,4.021721086875,3000.336182238341,70.27906009431382,240.6071684584195,32
Llama2-7B,"PP x32, lanes=N",8,8,32,1,1.0,11.076428443956164,4.013555939305555,3005.0137438295624,70.27906009431382,240.6071684584195,N
Llama2-7B,"PP x32, lanes=32",16,16,32,1,1.0,5.730347997802735,2.101985278875,5794.164295255538,71.74685718871116,481.4344099196517,32
Llama2-7B,"PP x32, lanes=N",16,16,32,1,1.0,5.718956887912326,2.096153030611111,5806.601538715211,71.74685718871116,481.4344099196517,N
Llama2-7B,"PP x32, lanes=32",32,32,32,1,1.0,3.083494497802734,1.1595153908749998,10715.193501443044,75.2717891538122,957.9210790512084,32
Llama2-7B,"PP x32, lanes=N",32,32,32,1,1.0,3.083494497802734,1.1595153908749998,10715.193501443044,75.2717891538122,957.9210790512084,N
Llama2-13B,"PP x40, lanes=32",16,10,40,1,0.875,15.453340758178712,5.931579908187501,2663.583345291142,140.88800138997368,417.73081047168034,32
Llama2-13B,"PP x40, lanes=N",16,10,40,1,0.875,15.435459364746093,5.922424634750001,2666.8526776210833,140.88800138997368,417.73081047168034,N
