Model,devices,cfg,pp,tp,lat_TTFT_s,eff_lat_s,batch_lat_s,total_tput,served_total,queued,spill_frac,unmet_frac,feasible,kind,lambda,alpha,N_L,N_T,k,TP,batch_tput
Llama2-13B,32,6xTP3/N_T14,,,0.83,0.83,28.58,4667.5,2709.0,0.0,0.0,0.0,True,dda,2709.0,0.3,18.0,14.0,6.0,3.0,2853.6
Llama2-13B,32,6xTP2/N_T20,,,0.946,0.946,19.19,6020.1,2709.0,0.0,0.0,0.0,True,dda,2709.0,0.3,12.0,20.0,6.0,2.0,4402.4
Llama2-13B,32,7xTP2/N_T18,,,0.946,0.946,22.44,4740.9,2709.0,0.0,0.0,0.0,True,dda,2709.0,0.3,14.0,18.0,7.0,2.0,2853.6
Llama2-13B,32,9xTP2/N_T14,,,0.946,0.946,28.58,5280.1,2709.0,0.0,0.0,0.0,True,dda,2709.0,0.3,18.0,14.0,9.0,2.0,2853.6
Llama2-13B,32,10xTP2/N_T12,,,0.946,0.946,32.73,4965.4,2709.0,0.0,0.0,0.0,True,dda,2709.0,0.3,20.0,12.0,10.0,2.0,2269.2
Llama2-13B,32,11xTP2/N_T10,,,0.946,0.946,37.23,5235.0,2709.0,0.0,0.0,0.0,True,dda,2709.0,0.3,22.0,10.0,11.0,2.0,2269.2
Llama2-13B,32,2xTP10/N_T12,,,0.607,1.9791,32.73,3047.2,2709.0,0.0,0.0427,0.0,True,dda,2709.0,0.3,20.0,12.0,2.0,10.0,2269.2
Llama2-13B,32,2xTP6/N_T20,,,0.678,2.9082,19.19,5117.2,2709.0,0.0,0.1205,0.0,True,dda,2709.0,0.3,12.0,20.0,2.0,6.0,4402.4
Llama2-13B,32,2xTP7/N_T18,,,0.667,3.0093,22.44,3578.9,2709.0,0.0,0.1076,0.0,True,dda,2709.0,0.3,14.0,18.0,2.0,7.0,2853.6
Llama2-13B,32,2xTP9/N_T14,,,0.651,3.2015,28.58,3592.1,2709.0,0.0,0.0913,0.0,True,dda,2709.0,0.3,18.0,14.0,2.0,9.0,2853.6
Llama2-13B,32,1xTP2/N_T30,,,0.946,10.2016,14.8,4672.0,2709.0,0.0,0.6683,0.0,True,dda,2709.0,0.3,2.0,30.0,1.0,2.0,4402.4
Llama2-70B,32,1xTP9/N_T23,,,2.143,45.886,152.75,1118.3,504.5,0.0,0.2904,0.0,True,dda,504.5,0.3,9.0,23.0,1.0,9.0,1010.9
Llama2-70B,32,1xTP12/N_T20,,,2.063,46.847,167.15,1121.2,504.5,0.0,0.2713,0.0,True,dda,504.5,0.3,12.0,20.0,1.0,12.0,1010.9
Llama2-70B,32,1xTP13/N_T19,,,2.056,50.3727,181.47,866.8,504.5,0.0,0.2693,0.0,True,dda,504.5,0.3,13.0,19.0,1.0,13.0,756.2
Llama2-70B,32,1xTP16/N_T16,,,1.891,51.7465,223.44,873.5,504.5,0.0,0.225,0.0,True,dda,504.5,0.3,16.0,16.0,1.0,16.0,756.2
