Model,alpha_req,alpha_tok,lambda_tok_s,selectable,N_L,N_T,n_instances,TP_per_instance,lambda_max,headroom_ratio,Tput_L,Tput_T,system_tput,TTFT_L_s,req_lat_T_packed_s,kv_slack_T,kv_slack_L,bottleneck,n_meets_load,n_meets_kv,n_unsaturated,n_selectable,ttft_bar_s,switch_from,devices_draining,devices_kept,T_drain_s,T_breakeven_s,free_move,note,lambda_shown
Llama2-70B,0.22,0.22,191.3,True,9,23,1,9,488.2,2.552,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.23,0.23,191.3,True,9,23,1,9,467.0,2.441,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.24,0.24,191.3,True,9,23,1,9,447.5,2.339,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.25,0.25,191.3,True,9,23,1,9,429.6,2.246,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.26,0.26,191.3,True,9,23,1,9,413.1,2.159,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.27,0.27,191.3,True,9,23,1,9,397.8,2.079,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.28,0.28,191.3,True,9,23,1,9,383.6,2.005,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.29,0.29,191.3,True,9,23,1,9,370.3,1.936,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.3,0.3,191.3,True,9,23,1,9,358.0,1.871,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.31,0.31,191.3,True,9,23,1,9,346.5,1.811,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.32,0.32,191.3,True,9,23,1,9,335.6,1.754,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.33,0.33,191.3,True,9,23,1,9,325.5,1.701,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.34,0.34,191.3,True,9,23,1,9,315.9,1.651,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.35,0.35,191.3,True,9,23,1,9,306.9,1.604,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.36,0.36,191.3,True,9,23,1,9,298.3,1.559,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.37,0.37,191.3,True,9,23,1,9,290.3,1.517,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.38,0.38,191.3,True,9,23,1,9,282.6,1.477,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.39,0.39,191.3,True,9,23,1,9,275.4,1.44,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.4,0.4,191.3,True,9,23,1,9,268.5,1.404,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.41,0.41,191.3,True,9,23,1,9,262.0,1.369,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.42,0.42,191.3,True,9,23,1,9,255.7,1.337,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.43,0.43,191.3,True,9,23,1,9,249.8,1.306,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.44,0.44,191.3,True,9,23,1,9,244.1,1.276,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.45,0.45,191.3,True,9,23,1,9,238.7,1.248,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.46,0.46,191.3,True,9,23,1,9,233.5,1.22,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.47,0.47,191.3,True,9,23,1,9,228.5,1.194,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.48,0.48,191.3,True,9,23,1,9,223.8,1.17,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.49,0.49,191.3,True,9,23,1,9,219.2,1.146,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.5,0.5,191.3,True,9,23,1,9,214.8,1.123,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.51,0.51,191.3,True,9,23,1,9,210.6,1.101,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.52,0.52,191.3,True,9,23,1,9,206.5,1.08,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.53,0.53,191.3,True,9,23,1,9,202.6,1.059,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.54,0.54,191.3,True,9,23,1,9,198.9,1.04,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.55,0.55,191.3,True,9,23,1,9,195.3,1.021,107.4,1010.9,1118.2,2.143,152.751,1.925,12.419,PoolL,8,8,8,8,2.269,,,,,,,,191.3
Llama2-70B,0.56,0.56,191.3,True,10,22,1,10,194.8,1.018,109.1,1010.9,1120.0,2.096,157.549,1.925,25.219,PoolL,8,8,8,8,2.269,1xTP9/N_T23,13.0,19.0,348.19,21997.57,False,,191.3
Llama2-70B,0.57,0.57,191.3,True,10,22,1,10,191.4,1.001,109.1,1010.9,1120.0,2.096,157.549,1.925,25.219,PoolL,6,8,8,6,2.269,,,,,,,,191.3
Llama2-70B,0.58,0.58,191.3,True,14,18,1,14,192.8,1.008,111.8,756.2,868.0,2.025,195.459,1.125,76.419,PoolL,3,8,8,3,2.269,1xTP10/N_T22,28.0,4.0,348.19,14069.56,False,,191.3
Llama2-70B,0.59,0.59,191.3,True,16,16,1,16,198.8,1.039,117.3,756.2,873.5,1.891,223.435,1.125,102.019,PoolL,1,8,8,1,2.269,1xTP14/N_T18,24.0,8.0,465.34,9459.09,False,,191.3
Llama2-70B,0.6,0.6,191.3,True,16,16,1,16,195.5,1.022,117.3,756.2,873.5,1.891,223.435,1.125,102.019,PoolL,1,8,8,1,2.269,,,,,,,,191.3
Llama2-70B,0.61,0.61,191.3,True,16,16,1,16,192.3,1.005,117.3,756.2,873.5,1.891,223.435,1.125,102.019,PoolL,1,8,8,1,2.269,,,,,,,,191.3
