Model,series,PP,TP,ttft_s,tput,alpha,N_L,N_T,n_instances,lambda_tok_s
Llama2-7B,dda,,2,0.562,3234.5,0.73,24.0,8.0,12.0,7006.8
Llama2-7B,dda,,2,0.562,3234.5,0.74,24.0,8.0,12.0,7006.8
Llama2-7B,dda,,2,0.562,3234.5,0.75,24.0,8.0,12.0,7006.8
Llama2-7B,dda,,2,0.562,3234.5,0.76,24.0,8.0,12.0,7006.8
Llama2-7B,dda,,2,0.562,3234.5,0.77,24.0,8.0,12.0,7006.8
Llama2-7B,dda,,1,0.782,3991.7,0.78,17.0,15.0,17.0,7006.8
Llama2-7B,dda,,2,0.562,2052.2,0.79,26.0,6.0,13.0,7006.8
Llama2-7B,dda,,2,0.562,2052.2,0.8,26.0,6.0,13.0,7006.8
Llama2-7B,dda,,2,0.562,2052.2,0.81,26.0,6.0,13.0,7006.8
Llama2-7B,dda,,2,0.562,2052.2,0.82,26.0,6.0,13.0,7006.8
Llama2-7B,dda,,2,0.562,2052.2,0.83,26.0,6.0,13.0,7006.8
Llama2-7B,dda,,1,0.782,3991.7,0.84,18.0,14.0,18.0,7006.8
Llama2-7B,dda,,1,0.782,3991.7,0.85,18.0,14.0,18.0,7006.8
Llama2-7B,dda,,1,0.782,3991.7,0.86,18.0,14.0,18.0,7006.8
Llama2-7B,dda,,1,0.782,3991.7,0.87,19.0,13.0,19.0,7006.8
Llama2-7B,dda,,1,0.782,3991.7,0.88,19.0,13.0,19.0,7006.8
Llama2-7B,dda,,1,0.782,3991.7,0.89,19.0,13.0,19.0,7006.8
Llama2-7B,dda,,1,0.782,3991.7,0.9,19.0,13.0,19.0,7006.8
Llama2-7B,dda,,1,0.782,3991.7,0.91,20.0,12.0,20.0,7006.8
Llama2-7B,dda,,1,0.782,3991.7,0.92,20.0,12.0,20.0,7006.8
Llama2-7B,dda,,1,0.782,3991.7,0.93,20.0,12.0,20.0,7006.8
Llama2-7B,dda,,1,0.782,3991.7,0.94,20.0,12.0,20.0,7006.8
Llama2-7B,dda,,1,0.782,3991.7,0.95,20.0,12.0,20.0,7006.8
Llama2-7B,dda,,1,0.782,3991.7,0.96,21.0,11.0,21.0,7006.8
Llama2-7B,dda,,1,0.782,3991.7,0.97,21.0,11.0,21.0,7006.8
Llama2-7B,dda,,1,0.782,3991.7,0.98,21.0,11.0,21.0,7006.8
Llama2-13B,cent32static,1,32,0.5875442648242186,398.63689226474986,,,,,
Llama2-13B,cent32static,2,16,0.5974110189257812,787.5931517471678,,,,,
Llama2-13B,cent32static,4,8,0.6674049476757813,1450.2668042419944,,,,,
Llama2-13B,cent32static,8,4,0.7554553599218748,2617.3252219227766,,,,,
Llama2-13B,cent32static,40,1,2.362201602617188,4402.443660441906,,,,,
Llama2-13B,native,1,20,0.5977924886523437,393.6117979244342,,,,,
Llama2-13B,native,2,10,0.6074625730273436,777.9699849490536,,,,,
Llama2-13B,native,4,5,0.6920916274609374,1404.1918454663025,,,,,
Llama2-13B,native,5,4,0.7554553599218748,1635.8282637017353,,,,,
Llama2-13B,native,10,2,0.9458217100976563,2696.160729171624,,,,,
Llama2-13B,native,20,1,1.3672483933984374,3886.1593069066894,,,,,
Llama2-13B,native,40,1,2.362201602617188,4402.443660441906,,,,,
Llama2-13B,dda,,2,0.946,4402.4,0.02,2.0,30.0,1.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.03,2.0,30.0,1.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.04,2.0,30.0,1.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.05,2.0,30.0,1.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.06,2.0,30.0,1.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.07,2.0,30.0,1.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.08,2.0,30.0,1.0,3318.6
Llama2-13B,dda,,3,0.83,4402.4,0.09,3.0,29.0,1.0,3318.6
Llama2-13B,dda,,5,0.692,4402.4,0.1,5.0,27.0,1.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.11,4.0,28.0,2.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.12,4.0,28.0,2.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.13,4.0,28.0,2.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.14,4.0,28.0,2.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.15,4.0,28.0,2.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.16,4.0,28.0,2.0,3318.6
Llama2-13B,dda,,3,0.83,4402.4,0.17,6.0,26.0,2.0,3318.6
Llama2-13B,dda,,3,0.83,4402.4,0.18,6.0,26.0,2.0,3318.6
Llama2-13B,dda,,4,0.755,4402.4,0.19,8.0,24.0,2.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.2,6.0,26.0,3.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.21,6.0,26.0,3.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.22,6.0,26.0,3.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.23,6.0,26.0,3.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.24,6.0,26.0,3.0,3318.6
Llama2-13B,dda,,3,0.83,4402.4,0.25,9.0,23.0,3.0,3318.6
