Model,TP,weights_GiB,kv_free_GiB,weight_share_pct,max_context_tok,panel,N_T,cpb_ceil,kv_slack_T,C_max_4096_T,C_need_T
Llama2-7B,,,,,,poolT_kv_slack,20.0,16.0,3.812,122.0,32.0
Llama2-7B,,,,,,poolT_kv_slack,21.0,16.0,3.812,122.0,32.0
Llama2-7B,,,,,,poolT_kv_slack,22.0,16.0,3.812,122.0,32.0
Llama2-7B,,,,,,poolT_kv_slack,23.0,16.0,3.812,122.0,32.0
Llama2-7B,,,,,,poolT_kv_slack,24.0,16.0,3.812,122.0,32.0
Llama2-7B,,,,,,poolT_kv_slack,25.0,16.0,3.812,122.0,32.0
Llama2-7B,,,,,,poolT_kv_slack,26.0,16.0,3.812,122.0,32.0
Llama2-7B,,,,,,poolT_kv_slack,27.0,16.0,3.812,122.0,32.0
Llama2-7B,,,,,,poolT_kv_slack,28.0,16.0,3.812,122.0,32.0
Llama2-7B,,,,,,poolT_kv_slack,29.0,16.0,3.812,122.0,32.0
Llama2-7B,,,,,,poolT_kv_slack,30.0,16.0,3.812,122.0,32.0
Llama2-7B,,,,,,poolT_kv_slack,31.0,16.0,3.812,122.0,32.0
