Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-70B,12,1,12,32,32,128,0.0485375,0.023677276763916014,0.003287,0.075501776763916,0.0173995,6.207541641113281,161.09436840131397,1095.8698079645503,282.2224589143831,1.0
Llama2-70B,12,1,12,32,32,256,0.0506325,0.023677276763916014,0.0041670000000000006,0.07847677676391601,0.0173995,6.445541641113281,155.145999464411,1098.7139800449254,271.24721770723454,1.0
Llama2-70B,12,1,12,32,32,384,0.0527765,0.023677276763916014,0.005046999999999999,0.08150077676391601,0.0173995,6.687461641113281,149.53356799120678,1101.559256542392,260.9019299646605,1.0
Llama2-70B,12,1,12,32,32,512,0.0549205,0.023677276763916014,0.005927,0.08452477676391601,0.0173995,6.929381641113281,144.31302124663162,1104.4045330398585,251.36436600173403,1.0
Llama2-70B,12,1,12,32,32,640,0.0570495,0.023677276763916014,0.006806999999999999,0.08753377676391601,0.0173995,7.1701016411132805,139.4680368638028,1107.2494373681752,242.6071738946387,1.0
Llama2-70B,12,1,12,32,32,768,0.0591445,0.023677276763916014,0.007686999999999999,0.09050877676391601,0.0173995,7.408101641113281,134.98734877640274,1110.0936094485505,234.61471680556733,1.0
Llama2-70B,12,1,12,32,32,896,0.0612885,0.023677276763916014,0.008567,0.09353277676391603,0.0173995,7.650021641113282,130.71858445807916,1112.938885946017,226.98770689974822,1.0
Llama2-70B,12,1,12,32,32,1024,0.0634325,0.023677276763916014,0.009446999999999999,0.09655677676391601,0.0173995,7.891941641113281,126.71152999795048,1115.7841624434845,219.87627841474878,1.0
Llama2-70B,12,1,12,32,32,1152,0.07074,0.023677276763916014,0.010327,0.10474427676391601,0.0173995,8.54694164111328,117.00091588196982,1127.7811460011071,199.28278661314442,1.0
Llama2-70B,12,1,12,32,32,1280,0.072835,0.023677276763916014,0.011207,0.107719276763916,0.0173995,8.78494164111328,113.83114889688375,1130.625318081482,194.03880656303323,1.0
