Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-7B,9,1,9,32,32,128,0.0189785,0.011607336196899413,0.00233,0.03291583619689941,0.0108005,1.214107258300781,823.6504585266729,106.31226509899811,175.05378635528052,1.0
Llama2-7B,9,1,9,32,32,256,0.0198345,0.011607336196899413,0.00277,0.034211836196899416,0.0108005,1.2555792583007812,796.4451414666842,106.55248025922604,167.8774361895089,1.0
Llama2-7B,9,1,9,32,32,384,0.020696,0.011607336196899413,0.00321,0.03551333619689941,0.0108005,1.2972272583007811,770.8749516332899,106.79274875630604,161.2520969576036,1.0
Llama2-7B,9,1,9,32,32,512,0.021547,0.011607336196899413,0.00365,0.03680433619689941,0.0108005,1.3385392583007811,747.0830562485389,107.0329229316139,155.23176505374,1.0
Llama2-7B,9,1,9,32,32,640,0.0224025,0.011607336196899413,0.00409,0.03809983619689941,0.0108005,1.379995258300781,724.6401710331398,107.2731637831098,149.63894066386266,1.0
Llama2-7B,9,1,9,32,32,768,0.0232585,0.011607336196899413,0.00453,0.03939583619689941,0.0108005,1.421467258300781,703.4984408964846,107.51337894333771,144.4544184697768,1.0
Llama2-7B,9,1,9,32,32,896,0.02412,0.011607336196899413,0.0049700000000000005,0.040697336196899414,0.0108005,1.4631152583007812,683.4731538247851,107.75364744041774,139.60619745079,1.0
Llama2-7B,9,1,9,32,32,1024,0.024971,0.011607336196899413,0.00541,0.041988336196899415,0.0108005,1.5044272583007812,664.7047868100176,107.9938216157256,135.14904991756137,1.0
Llama2-7B,9,1,9,32,32,1152,0.0265885,0.011607336196899413,0.00585,0.04404583619689941,0.0108005,1.570267258300781,636.834267997233,108.84414115402978,127.92671309263152,1.0
Llama2-7B,9,1,9,32,32,1280,0.0274445,0.011607336196899413,0.0062900000000000005,0.04534183619689941,0.0108005,1.611739258300781,620.4477522339914,109.08435631425775,124.21017452752116,1.0
Llama2-7B,9,1,9,32,32,1408,0.028306,0.011607336196899413,0.006730000000000001,0.046643336196899414,0.0108005,1.6533872583007811,604.8189829572775,109.32462481133777,120.69506554632605,1.0
Llama2-7B,9,1,9,32,32,1536,0.029157,0.011607336196899413,0.00717,0.047934336196899414,0.0108005,1.6946992583007812,590.0751977685214,109.56479898664558,117.4297756399038,1.0
Llama2-7B,9,1,9,32,32,1664,0.0300125,0.011607336196899413,0.0076100000000000004,0.04922983619689941,0.0108005,1.736155258300781,575.9853533944454,109.80503983814154,114.33261124337936,1.0
Llama2-7B,9,1,9,32,32,1792,0.0308685,0.011607336196899413,0.008050000000000002,0.05052583619689942,0.0108005,1.7776272583007813,562.5476293359112,110.04525499836944,111.40529078831318,1.0
Llama2-7B,9,1,9,32,32,1920,0.03173,0.011607336196899413,0.008490000000000001,0.051827336196899415,0.0108005,1.8192752583007812,549.6694331642858,110.28552349544945,108.6171638585816,1.0
Llama2-7B,9,1,9,32,32,2048,0.032581,0.011607336196899413,0.00893,0.05311833619689941,0.0108005,1.860587258300781,537.4647147230656,110.52569767075728,106.0104985178836,1.0
Llama2-7B,9,1,9,32,32,2176,0.0341625,0.011607336196899413,0.00937,0.05513983619689941,0.0108005,1.925275258300781,519.4062488927349,111.31432760236981,101.82430260004556,1.0
Llama2-7B,9,1,9,32,32,2304,0.0350185,0.011607336196899413,0.00981,0.05643583619689942,0.0108005,1.9667472583007812,508.45374044856896,111.55454276259772,99.54965122238762,1.0
Llama2-7B,9,1,9,32,32,2432,0.03588,0.011607336196899413,0.010249999999999999,0.057737336196899414,0.0108005,2.0083952583007814,497.90995864332893,111.79481125967776,97.36866922700476,1.0
Llama2-7B,9,1,9,32,32,2560,0.036731,0.011607336196899413,0.010689999999999998,0.05902833619689941,0.0108005,2.049707258300781,487.8745469384763,112.0349854349856,95.31712435935043,1.0
