Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,11,1,11,32,32,128,0.0244845,0.014140533599853514,0.00290525,0.041530283599853515,0.011261,1.8224723439941404,548.7051714641631,202.16923562752746,206.4257342681364,1.0
Llama2-13B,11,1,11,32,32,256,0.0256045,0.014140533599853514,0.00345525,0.04320028359985351,0.011261,1.8892723439941403,529.3043129429843,202.64745076206574,197.86312050817793,1.0
Llama2-13B,11,1,11,32,32,384,0.026687,0.014140533599853514,0.00400525,0.044832783599853515,0.011261,1.9545723439941405,511.6208684077226,203.12527012710314,190.28484854714202,1.0
Llama2-13B,11,1,11,32,32,512,0.027802,0.014140533599853514,0.00455525,0.046497783599853515,0.011261,2.0211723439941407,494.7623605535041,203.60343947099133,183.08344675831898,1.0
Llama2-13B,11,1,11,32,32,640,0.0289645,0.014140533599853514,0.00510525,0.048210283599853514,0.011261,2.0896723439941405,478.54392238767366,204.08214371968052,176.14851259272604,1.0
Llama2-13B,11,1,11,32,32,768,0.0300845,0.014140533599853514,0.00565525,0.04988028359985351,0.011261,2.1564723439941407,463.7202989340619,204.56035885421875,169.98816571176087,1.0
Llama2-13B,11,1,11,32,32,896,0.031167,0.014140533599853514,0.00620525,0.051512783599853514,0.011261,2.221772343994141,450.0911187877479,205.03817821925625,164.46736790455952,1.0
Llama2-13B,11,1,11,32,32,1024,0.032282,0.014140533599853514,0.00675525,0.05317778359985351,0.011261,2.2883723439941406,436.9918219928289,205.51634756314445,159.15707481192646,1.0
Llama2-13B,11,1,11,32,32,1152,0.0348345,0.014140533599853514,0.00730525,0.056280283599853514,0.011261,2.4124723439941405,414.51252383866864,207.30670119110871,148.779730720341,1.0
Llama2-13B,11,1,11,32,32,1280,0.0359545,0.014140533599853514,0.007855250000000001,0.05795028359985351,0.011261,2.4792723439941406,403.34415152995524,207.78491632564706,144.4776845218589,1.0
