Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,15,1,15,32,32,128,0.0232955,0.014587568435668944,0.00290525,0.04078831843566894,0.0106835,1.7922162374267576,557.9683852411625,244.8381838344619,262.75266020740264,1.0
Llama2-13B,15,1,15,32,32,256,0.0244155,0.014587568435668944,0.00345525,0.04245831843566895,0.0106835,1.8590162374267578,537.9189163964461,245.3204532439434,251.19335385712293,1.0
Llama2-13B,15,1,15,32,32,384,0.025498,0.014587568435668944,0.00400525,0.04409081843566895,0.0106835,1.924316237426758,519.6651052205557,245.80232688392408,241.00157549996476,1.0
Llama2-13B,15,1,15,32,32,512,0.026613,0.014587568435668944,0.00455525,0.04575581843566895,0.0106835,1.990916237426758,502.2813020463841,246.2845505027554,231.3573728091116,1.0
Llama2-13B,15,1,15,32,32,640,0.0277755,0.014587568435668944,0.00510525,0.04746831843566895,0.0106835,2.059416237426758,485.57449525089726,246.76730902638784,222.10879104461472,1.0
Llama2-13B,15,1,15,32,32,768,0.0288955,0.014587568435668944,0.00565525,0.049138318435668946,0.0106835,2.126216237426758,470.319049585589,247.24957843586938,213.91702724980473,1.0
Llama2-13B,15,1,15,32,32,896,0.029978,0.014587568435668944,0.00620525,0.05077081843566895,0.0106835,2.191516237426758,456.3050836320444,247.73145207585,206.59437927467638,1.0
Llama2-13B,15,1,15,32,32,1024,0.031093,0.014587568435668944,0.00675525,0.05243581843566894,0.0106835,2.258116237426757,442.8469993819064,248.21367569468137,199.573598313673,1.0
Llama2-13B,15,1,15,32,32,1152,0.0336455,0.014587568435668944,0.00730525,0.05553831843566895,0.0106835,2.3822162374267575,419.77717399835564,250.0080835975889,185.76636072995564,1.0
Llama2-13B,15,1,15,32,32,1280,0.0347655,0.014587568435668944,0.007855250000000001,0.057208318435668946,0.0106835,2.4490162374267577,408.327223281592,250.49035300707033,180.12854195040367,1.0
Llama2-13B,15,1,15,32,32,1408,0.035848,0.014587568435668944,0.00840525,0.05884081843566895,0.0106835,2.514316237426758,397.72244442228003,250.97222664705103,175.0252640642791,1.0
Llama2-13B,15,1,15,32,32,1536,0.036963,0.014587568435668944,0.00895525,0.06050581843566895,0.0106835,2.5809162374267576,387.4593004990455,251.45445026588243,170.07172731236813,1.0
Llama2-13B,15,1,15,32,32,1664,0.0381255,0.014587568435668944,0.00950525,0.06221831843566895,0.0106835,2.649416237426758,377.4416363399542,251.93720878951478,165.20256048413458,1.0
Llama2-13B,15,1,15,32,32,1792,0.0392455,0.014587568435668944,0.01005525,0.06388831843566894,0.0106835,2.7162162374267576,368.1592011051973,252.41947819899625,160.7951728217225,1.0
Llama2-13B,15,1,15,32,32,1920,0.040328,0.014587568435668944,0.010605249999999998,0.06552081843566894,0.0106835,2.7815162374267572,359.516146821103,252.90135183897698,156.77776720825293,1.0
Llama2-13B,15,1,15,32,32,2048,0.041443,0.014587568435668944,0.01115525,0.06718581843566895,0.0106835,2.848116237426758,351.1092654362622,253.38357545780835,152.8506475507374,1.0
Llama2-13B,15,1,15,32,32,2176,0.0439635,0.014587568435668944,0.011705249999999999,0.07025631843566894,0.0106835,2.9709362374267574,336.59423161034874,255.09689717917453,145.06175417060436,1.0
Llama2-13B,15,1,15,32,32,2304,0.0450835,0.014587568435668944,0.01225525,0.07192631843566893,0.0106835,3.037736237426757,329.19250449706334,255.57916658865605,141.72544644307567,1.0
Llama2-13B,15,1,15,32,32,2432,0.046166,0.014587568435668944,0.012805249999999999,0.07355881843566894,0.0106835,3.1030362374267573,322.2650086836453,256.0610402286367,138.6632154771026,1.0
Llama2-13B,15,1,15,32,32,2560,0.047281,0.014587568435668944,0.01335525,0.07522381843566894,0.0106835,3.1696362374267575,315.493616646635,256.54326384746815,135.64817994938142,1.0
Llama2-13B,15,1,15,32,32,2688,0.0484435,0.014587568435668944,0.01390525,0.07693631843566894,0.0106835,3.2381362374267573,308.81961927416245,257.0260223711006,132.6421616786052,1.0
Llama2-13B,15,1,15,32,32,2816,0.0495635,0.014587568435668944,0.014455250000000001,0.07860631843566895,0.0106835,3.304936237426758,302.57769837599216,257.508291780582,129.88806873030663,1.0
Llama2-13B,15,1,15,32,32,2944,0.050646,0.014587568435668944,0.01500525,0.08023881843566893,0.0106835,3.370236237426757,296.7151052780561,257.9901654205626,127.34972427267834,1.0
Llama2-13B,15,1,15,32,32,3072,0.051761,0.014587568435668944,0.015555250000000001,0.08190381843566895,0.0106835,3.436836237426758,290.9652747227561,258.47238903939416,124.8393525238085,1.0
Llama2-13B,15,1,15,32,32,3200,0.0542815,0.014587568435668944,0.01610525,0.08497431843566895,0.0106835,3.5596562374267577,280.92600332747037,260.18571076076023,119.83166951943123,1.0
Llama2-13B,15,1,15,32,32,3328,0.0554015,0.014587568435668944,0.01665525,0.08664431843566894,0.0106835,3.6264562374267575,275.75129397110135,260.6679801702418,117.6267701101242,1.0
Llama2-13B,15,1,15,32,32,3456,0.056484,0.014587568435668944,0.017205250000000002,0.08827681843566895,0.0106835,3.6917562374267576,270.87378897395024,261.1498538102225,115.58576491140079,1.0
Llama2-13B,15,1,15,32,32,3584,0.057599,0.014587568435668944,0.017755250000000004,0.08994181843566894,0.0106835,3.7583562374267574,266.0737665157235,261.6320774290539,113.55756064734362,1.0
Llama2-13B,15,1,15,32,32,3712,0.0587615,0.014587568435668944,0.018305250000000002,0.09165431843566896,0.0106835,3.826856237426758,261.31109661762906,262.1148359526861,111.51639932297772,1.0
Llama2-13B,15,1,15,32,32,3840,0.0598815,0.014587568435668944,0.018855250000000004,0.09332431843566895,0.0106835,3.893656237426758,256.8280143449132,262.5971053621677,109.6319837354474,1.0
Llama2-13B,15,1,15,32,32,3968,0.060964,0.014587568435668944,0.019405250000000002,0.09495681843566894,0.0106835,3.9589562374267575,252.59182977227857,263.0789790021483,107.88292229928663,1.0
Llama2-13B,15,1,15,32,32,4096,0.062079,0.014587568435668944,0.01995525,0.09662181843566894,0.0106835,4.025556237426758,248.4128753941409,263.56120262097977,106.13943629124975,1.0
