Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,8,1,8,32,32,128,0.0295685,0.013857411537170409,0.00290525,0.04633116153717041,0.016064,2.0193104614868163,495.21855062529664,214.78416890682286,181.59880354669906,1.0
Llama2-13B,8,1,8,32,32,256,0.0306885,0.013857411537170409,0.00345525,0.04800116153717041,0.016064,2.0861104614868164,479.3610014722222,215.25934333515374,175.35831283310824,1.0
Llama2-13B,8,1,8,32,32,384,0.031771,0.013857411537170409,0.00400525,0.049633661537170415,0.016064,2.1514104614868166,464.8113495315584,215.73412199398382,169.75710710552374,1.0
Llama2-13B,8,1,8,32,32,512,0.032886,0.013857411537170409,0.00455525,0.0512986615371704,0.016064,2.218010461486816,450.85450107826017,216.20925063166462,164.36268520925668,1.0
Llama2-13B,8,1,8,32,32,640,0.0340485,0.013857411537170409,0.00510525,0.05301116153717041,0.016064,2.2865104614868166,437.3476600451433,216.68491417414634,159.10019103201785,1.0
Llama2-13B,8,1,8,32,32,768,0.0351685,0.013857411537170409,0.00565525,0.05468116153717041,0.016064,2.3533104614868163,424.93330836093855,217.1600886024772,154.3711621212713,1.0
Llama2-13B,8,1,8,32,32,896,0.036251,0.013857411537170409,0.00620525,0.05631366153717041,0.016064,2.4186104614868165,413.4605451864539,217.63486726130733,150.0888715216872,1.0
Llama2-13B,8,1,8,32,32,1024,0.037366,0.013857411537170409,0.00675525,0.05797866153717041,0.016064,2.4852104614868167,402.38040821771455,218.10999589898807,145.9281137257052,1.0
Llama2-13B,8,1,8,32,32,1152,0.0399185,0.013857411537170409,0.00730525,0.061081161537170414,0.016064,2.6093104614868166,383.24301180710705,219.89730882074502,137.71641520895383,1.0
Llama2-13B,8,1,8,32,32,1280,0.0410385,0.013857411537170409,0.007855250000000001,0.06275116153717042,0.016064,2.6761104614868167,373.6766528854012,220.37248324907588,134.24740380927415,1.0
Llama2-13B,8,1,8,32,32,1408,0.042121,0.013857411537170409,0.00840525,0.06438366153717041,0.016064,2.7414104614868164,364.775729154271,220.84726190790587,131.07907095504967,1.0
Llama2-13B,8,1,8,32,32,1536,0.043236,0.013857411537170409,0.00895525,0.0660486615371704,0.016064,2.8080104614868158,356.12402934941673,221.32239054558673,127.97344258580046,1.0
Llama2-13B,8,1,8,32,32,1664,0.0443985,0.013857411537170409,0.00950525,0.0677611615371704,0.016064,2.876510461486816,347.6434427716693,221.79805408806843,124.89051099027472,1.0
Llama2-13B,8,1,8,32,32,1792,0.0455185,0.013857411537170409,0.01005525,0.06943116153717041,0.016064,2.9433104614868166,339.75348950951263,222.27322851639937,122.07851121873489,1.0
Llama2-13B,8,1,8,32,32,1920,0.046601,0.013857411537170409,0.010605249999999998,0.0710636615371704,0.016064,3.0086104614868163,332.3793534593418,222.7480071752294,119.49743952663539,1.0
Llama2-13B,8,1,8,32,32,2048,0.047716,0.013857411537170409,0.01115525,0.07272866153717042,0.016064,3.0752104614868165,325.1809957476912,223.22313581291016,116.95402790097148,1.0
Llama2-13B,8,1,8,32,32,2176,0.0502365,0.013857411537170409,0.011705249999999999,0.07579916153717041,0.016064,3.1980304614868165,312.6924561985203,224.9293625531258,111.93522764977942,1.0
Llama2-13B,8,1,8,32,32,2304,0.0513565,0.013857411537170409,0.01225525,0.0774691615371704,0.016064,3.264830461486816,306.2946182953084,225.4045369814567,109.72541790301943,1.0
Llama2-13B,8,1,8,32,32,2432,0.052439,0.013857411537170409,0.012805249999999999,0.07910166153717041,0.016064,3.3301304614868164,300.2885357090563,225.8793156402868,107.68670056650906,1.0
Llama2-13B,8,1,8,32,32,2560,0.053554,0.013857411537170409,0.01335525,0.08076666153717041,0.016064,3.396730461486816,294.4007513514276,226.35444427796753,105.66645081505006,1.0
Llama2-13B,8,1,8,32,32,2688,0.0547165,0.013857411537170409,0.01390525,0.0824791615371704,0.016064,3.465230461486816,288.5810947104895,226.83010782044923,103.63880539711484,1.0
Llama2-13B,8,1,8,32,32,2816,0.0558365,0.013857411537170409,0.014455250000000001,0.0841491615371704,0.016064,3.532030461486816,283.12326603747573,227.3052822487802,101.77271240531738,1.0
Llama2-13B,8,1,8,32,32,2944,0.056919,0.013857411537170409,0.01500525,0.0857816615371704,0.016064,3.597330461486816,277.9839135453486,227.78006090761022,100.04570569915593,1.0
Llama2-13B,8,1,8,32,32,3072,0.058034,0.013857411537170409,0.015555250000000001,0.08744666153717041,0.016064,3.6639304614868164,272.9309441080936,228.25518954529096,98.32821688376256,1.0
Llama2-13B,8,1,8,32,32,3200,0.0605545,0.013857411537170409,0.01610525,0.0905171615371704,0.016064,3.786750461486816,264.0786632682851,229.9614162855066,94.93985429881621,1.0
Llama2-13B,8,1,8,32,32,3328,0.0616745,0.013857411537170409,0.01665525,0.09218716153717041,0.016064,3.8535504614868166,259.50094853932956,230.43659071383752,93.4083740905226,1.0
Llama2-13B,8,1,8,32,32,3456,0.062757,0.013857411537170409,0.017205250000000002,0.0938196615371704,0.016064,3.9188504614868163,255.17687133706013,230.9113693726675,91.9863000831252,1.0
Llama2-13B,8,1,8,32,32,3584,0.063872,0.013857411537170409,0.017755250000000004,0.0954846615371704,0.016064,3.985450461486816,250.91266587389447,231.3864980103483,90.56648375279791,1.0
Llama2-13B,8,1,8,32,32,3712,0.0650345,0.013857411537170409,0.018305250000000002,0.0971971615371704,0.016064,4.053950461486816,246.67296985993326,231.86216155283014,89.1304467447394,1.0
Llama2-13B,8,1,8,32,32,3840,0.0661545,0.013857411537170409,0.018855250000000004,0.09886716153717041,0.016064,4.120750461486817,242.6742432831489,232.33733598116095,87.80103242453684,1.0
Llama2-13B,8,1,8,32,32,3968,0.067237,0.013857411537170409,0.019405250000000002,0.10049966153717041,0.016064,4.186050461486817,238.88866347894344,232.81211463999105,86.56398807204035,1.0
Llama2-13B,8,1,8,32,32,4096,0.068352,0.013857411537170409,0.01995525,0.10216466153717041,0.016064,4.252650461486817,235.147470749425,233.28724327767176,85.32568296380202,1.0
