Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-70B,10,1,10,32,32,128,0.0504195,0.023081230316162108,0.003287,0.07678773031616211,0.0183235,6.311341925292969,158.4449094720186,977.5394705850393,242.35153824042274,1.0
Llama2-70B,10,1,10,32,32,256,0.0525145,0.023081230316162108,0.0041670000000000006,0.07976273031616211,0.0183235,6.549341925292969,152.68709610931901,980.377155825505,233.35868089420666,1.0
Llama2-70B,10,1,10,32,32,384,0.0546585,0.023081230316162108,0.005046999999999999,0.0827867303161621,0.0183235,6.791261925292969,147.2480388770841,983.2159454830633,224.8543102818096,1.0
Llama2-70B,10,1,10,32,32,512,0.0568025,0.023081230316162108,0.005927,0.08581073031616211,0.0183235,7.033181925292969,142.18315559331202,986.0547351406215,216.99193150403175,1.0
Llama2-70B,10,1,10,32,32,640,0.0589315,0.023081230316162108,0.006806999999999999,0.0888197303161621,0.0183235,7.273901925292968,137.47779531131408,988.8931526290282,209.7547900165931,1.0
Llama2-70B,10,1,10,32,32,768,0.0610265,0.023081230316162108,0.007686999999999999,0.0917947303161621,0.0183235,7.511901925292968,133.12207879511146,991.7308378694944,203.1352850543399,1.0
Llama2-70B,10,1,10,32,32,896,0.0631705,0.023081230316162108,0.008567,0.09481873031616211,0.0183235,7.75382192529297,128.96865695844775,994.569627527052,196.80262692377212,1.0
Llama2-70B,10,1,10,32,32,1024,0.0653145,0.023081230316162108,0.009446999999999999,0.0978427303161621,0.0183235,7.995741925292968,125.06656784865646,997.4084171846101,190.88571779325608,1.0
Llama2-70B,10,1,10,32,32,1152,0.072622,0.023081230316162108,0.010327,0.10603023031616211,0.0183235,8.65074192529297,115.59702146196364,1009.3989139023236,173.74192977030438,1.0
Llama2-70B,10,1,10,32,32,1280,0.074717,0.023081230316162108,0.011207,0.1090052303161621,0.0183235,8.888741925292969,112.50186003876364,1012.2365991427895,169.3450953502532,1.0
Llama2-70B,10,1,10,32,32,1408,0.076861,0.023081230316162108,0.012087,0.1120292303161621,0.0183235,9.130661925292967,109.52108490950549,1015.0753888003472,165.0829726389761,1.0
Llama2-70B,10,1,10,32,32,1536,0.079005,0.023081230316162108,0.012967,0.1150532303161621,0.0183235,9.372581925292968,106.69418608136007,1017.9141784579052,161.05217683341323,1.0
Llama2-70B,10,1,10,32,32,1664,0.081134,0.023081230316162108,0.013847,0.1180622303161621,0.0183235,9.613301925292967,104.02253125629619,1020.7525959463122,157.26338463934852,1.0
Llama2-70B,10,1,10,32,32,1792,0.083229,0.023081230316162108,0.014727,0.1210372303161621,0.0183235,9.851301925292969,101.50942561536209,1023.5902811867783,153.73101340680205,1.0
Llama2-70B,10,1,10,32,32,1920,0.085373,0.023081230316162108,0.015607,0.1240612303161621,0.0183235,10.093221925292967,99.07639080976354,1026.4290708443361,150.28596143457767,1.0
Llama2-70B,10,1,10,32,32,2048,0.087517,0.023081230316162108,0.016486999999999998,0.1270852303161621,0.0183235,10.335141925292966,96.75725860645629,1029.2678605018941,147.00970390065558,1.0
Llama2-70B,10,1,10,32,32,2176,0.094796,0.023081230316162108,0.017367,0.13524423031616212,0.0183235,10.987861925292968,91.00951639172851,1041.072143708355,137.2779631667415,1.0
Llama2-70B,10,1,10,32,32,2304,0.096891,0.023081230316162108,0.018247000000000003,0.13821923031616212,0.0183235,11.22586192529297,89.08001957042619,1043.9098289488206,134.6757992162353,1.0
Llama2-70B,10,1,10,32,32,2432,0.099035,0.023081230316162108,0.019127,0.1412432303161621,0.0183235,11.467781925292968,87.20082109291182,1046.7486186063782,132.11852105396807,1.0
