Model,alpha_req,alpha_tok,lambda_tok_s,selectable,N_L,N_T,n_instances,TP_per_instance,lambda_max,headroom_ratio,Tput_L,Tput_T,system_tput,TTFT_L_s,req_lat_T_packed_s,kv_slack_T,kv_slack_L,bottleneck,n_meets_load,n_meets_kv,n_unsaturated,n_selectable,ttft_bar_s,switch_from,devices_draining,devices_kept,T_drain_s,T_breakeven_s,free_move,note
Llama2-7B,0.02,0.02,152.3,True,1,31,1,1,6366.4,41.796,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,304.6,True,1,31,1,1,6366.4,20.898,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,457.0,True,1,31,1,1,6366.4,13.932,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,609.3,True,1,31,1,1,6366.4,10.449,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,761.6,True,1,31,1,1,6366.4,8.359,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,913.9,True,1,31,1,1,6366.4,6.966,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,1066.3,True,1,31,1,1,6366.4,5.971,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,1218.6,True,1,31,1,1,6366.4,5.224,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,1370.9,True,1,31,1,1,6366.4,4.644,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,1523.2,True,1,31,1,1,6366.4,4.18,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,1675.5,True,1,31,1,1,6366.4,3.8,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,1827.9,True,1,31,1,1,6366.4,3.483,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,1980.2,True,1,31,1,1,6366.4,3.215,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,2132.5,True,1,31,1,1,6366.4,2.985,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,87,91,68,66,0.485,,,,,,,
Llama2-7B,0.02,0.02,2284.8,True,1,31,1,1,6366.4,2.786,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,87,91,68,66,0.485,,,,,,,
Llama2-7B,0.02,0.02,2437.2,True,1,31,1,1,6366.4,2.612,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,87,91,68,66,0.485,,,,,,,
Llama2-7B,0.02,0.02,2589.5,True,1,31,1,1,6366.4,2.459,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,84,91,68,64,0.485,,,,,,,
Llama2-7B,0.02,0.02,2741.8,True,1,31,1,1,6366.4,2.322,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,84,91,68,64,0.485,,,,,,,
Llama2-7B,0.02,0.02,2894.1,True,1,31,1,1,6366.4,2.2,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,84,91,68,64,0.485,,,,,,,
Llama2-7B,0.02,0.02,3046.4,True,1,31,1,1,6366.4,2.09,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,84,91,68,64,0.485,,,,,,,
Llama2-7B,0.02,0.02,3198.8,True,1,31,1,1,6366.4,1.99,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,84,91,68,64,0.485,,,,,,,
Llama2-7B,0.02,0.02,3351.1,True,1,31,1,1,6366.4,1.9,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,70,91,68,55,0.485,,,,,,,
Llama2-7B,0.02,0.02,3503.4,True,1,31,1,1,6366.4,1.817,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,70,91,68,55,0.485,,,,,,,
Llama2-7B,0.02,0.02,3655.7,True,1,31,1,1,6366.4,1.741,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,70,91,68,55,0.485,,,,,,,
Llama2-7B,0.02,0.02,3808.1,True,1,31,1,1,6366.4,1.672,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,70,91,68,55,0.485,,,,,,,
Llama2-7B,0.02,0.02,3960.4,True,1,31,1,1,6366.4,1.608,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,70,91,68,55,0.485,,,,,,,
Llama2-7B,0.02,0.02,4112.7,True,1,31,1,1,6366.4,1.548,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,4265.0,True,1,31,1,1,6366.4,1.493,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,4417.3,True,1,31,1,1,6366.4,1.441,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,4569.7,True,1,31,1,1,6366.4,1.393,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,4722.0,True,1,31,1,1,6366.4,1.348,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,4874.3,True,1,31,1,1,6366.4,1.306,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,5026.6,True,1,31,1,1,6366.4,1.267,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,5179.0,True,1,31,1,1,6366.4,1.229,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,5331.3,True,1,31,1,1,6366.4,1.194,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,5483.6,True,1,31,1,1,6366.4,1.161,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,5635.9,True,1,31,1,1,6366.4,1.13,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,5788.2,True,1,31,1,1,6366.4,1.1,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,5940.6,True,1,31,1,1,6366.4,1.072,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,6092.9,True,1,31,1,1,6366.4,1.045,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,6245.2,True,1,31,1,1,6366.4,1.019,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,6397.5,False,1,31,1,1,6366.4,0.995,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,6549.9,False,1,31,1,1,6366.4,0.972,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,6702.2,False,1,31,1,1,6366.4,0.95,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,6854.5,False,1,31,1,1,6366.4,0.929,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,7006.8,False,1,31,1,1,6366.4,0.909,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,7159.1,False,1,31,1,1,6366.4,0.889,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,7311.5,False,1,31,1,1,6366.4,0.871,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,7463.8,False,1,31,1,1,6366.4,0.853,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,7616.1,False,1,31,1,1,6366.4,0.836,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,7768.4,False,1,31,1,1,6366.4,0.82,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,7920.8,False,1,31,1,1,6366.4,0.804,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,8073.1,False,1,31,1,1,6366.4,0.789,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,8225.4,False,1,31,1,1,6366.4,0.774,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,8377.7,False,1,31,1,1,6366.4,0.76,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,8530.0,False,1,31,1,1,6366.4,0.746,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,8682.4,False,1,31,1,1,6366.4,0.733,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,8834.7,False,1,31,1,1,6366.4,0.721,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,8987.0,False,1,31,1,1,6366.4,0.708,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,9139.3,False,1,31,1,1,6366.4,0.697,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,9291.7,False,1,31,1,1,6366.4,0.685,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,9444.0,False,1,31,1,1,6366.4,0.674,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,9596.3,False,1,31,1,1,6366.4,0.663,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,9748.6,False,1,31,1,1,6366.4,0.653,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,9900.9,False,1,31,1,1,6366.4,0.643,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,10053.3,False,1,31,1,1,6366.4,0.633,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,10205.6,False,1,31,1,1,6366.4,0.624,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,10357.9,False,1,31,1,1,6366.4,0.615,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,10510.2,False,1,31,1,1,6366.4,0.606,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,10662.6,False,1,31,1,1,6366.4,0.597,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,10814.9,False,1,31,1,1,6366.4,0.589,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,10967.2,False,1,31,1,1,6366.4,0.58,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,11119.5,False,1,31,1,1,6366.4,0.573,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,11271.8,False,1,31,1,1,6366.4,0.565,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,11424.2,False,1,31,1,1,6366.4,0.557,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,11576.5,False,1,31,1,1,6366.4,0.55,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,11728.8,False,1,31,1,1,6366.4,0.543,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,11881.1,False,1,31,1,1,6366.4,0.536,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,12033.5,False,1,31,1,1,6366.4,0.529,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,12185.8,False,1,31,1,1,6366.4,0.522,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.03,0.03,152.3,True,1,31,1,1,6432.1,42.227,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.03,0.03,304.6,True,1,31,1,1,6432.1,21.113,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.03,0.03,457.0,True,1,31,1,1,6432.1,14.076,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.03,0.03,609.3,True,1,31,1,1,6432.1,10.557,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.03,0.03,761.6,True,1,31,1,1,6432.1,8.445,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.03,0.03,913.9,True,1,31,1,1,6432.1,7.038,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.03,0.03,1066.3,True,1,31,1,1,6432.1,6.032,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.03,0.03,1218.6,True,1,31,1,1,6432.1,5.278,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.03,0.03,1370.9,True,1,31,1,1,6432.1,4.692,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.03,0.03,1523.2,True,1,31,1,1,6432.1,4.223,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.03,0.03,1675.5,True,1,31,1,1,6432.1,3.839,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.03,0.03,1827.9,True,1,31,1,1,6432.1,3.519,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.03,0.03,1980.2,True,1,31,1,1,6432.1,3.248,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.03,0.03,2132.5,True,1,31,1,1,6432.1,3.016,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,87,91,68,66,0.485,,,,,,,
Llama2-7B,0.03,0.03,2284.8,True,1,31,1,1,6432.1,2.815,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,87,91,68,66,0.485,,,,,,,
Llama2-7B,0.03,0.03,2437.2,True,1,31,1,1,6432.1,2.639,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,87,91,68,66,0.485,,,,,,,
Llama2-7B,0.03,0.03,2589.5,True,1,31,1,1,6432.1,2.484,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,84,91,68,64,0.485,,,,,,,
Llama2-7B,0.03,0.03,2741.8,True,1,31,1,1,6432.1,2.346,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,84,91,68,64,0.485,,,,,,,
Llama2-7B,0.03,0.03,2894.1,True,1,31,1,1,6432.1,2.222,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,84,91,68,64,0.485,,,,,,,
Llama2-7B,0.03,0.03,3046.4,True,1,31,1,1,6432.1,2.111,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,84,91,68,64,0.485,,,,,,,
Llama2-7B,0.03,0.03,3198.8,True,1,31,1,1,6432.1,2.011,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,84,91,68,64,0.485,,,,,,,
Llama2-7B,0.03,0.03,3351.1,True,1,31,1,1,6432.1,1.919,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,70,91,68,55,0.485,,,,,,,
Llama2-7B,0.03,0.03,3503.4,True,1,31,1,1,6432.1,1.836,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,70,91,68,55,0.485,,,,,,,
Llama2-7B,0.03,0.03,3655.7,True,1,31,1,1,6432.1,1.759,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,70,91,68,55,0.485,,,,,,,
Llama2-7B,0.03,0.03,3808.1,True,1,31,1,1,6432.1,1.689,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,70,91,68,55,0.485,,,,,,,
Llama2-7B,0.03,0.03,3960.4,True,1,31,1,1,6432.1,1.624,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,70,91,68,55,0.485,,,,,,,
Llama2-7B,0.03,0.03,4112.7,True,1,31,1,1,6432.1,1.564,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,70,91,68,55,0.485,,,,,,,
Llama2-7B,0.03,0.03,4265.0,True,1,31,1,1,6432.1,1.508,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.03,0.03,4417.3,True,1,31,1,1,6432.1,1.456,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.03,0.03,4569.7,True,1,31,1,1,6432.1,1.408,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.03,0.03,4722.0,True,1,31,1,1,6432.1,1.362,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.03,0.03,4874.3,True,1,31,1,1,6432.1,1.32,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.03,0.03,5026.6,True,1,31,1,1,6432.1,1.28,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.03,0.03,5179.0,True,1,31,1,1,6432.1,1.242,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.03,0.03,5331.3,True,1,31,1,1,6432.1,1.206,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.03,0.03,5483.6,True,1,31,1,1,6432.1,1.173,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.03,0.03,5635.9,True,1,31,1,1,6432.1,1.141,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.03,0.03,5788.2,True,1,31,1,1,6432.1,1.111,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.03,0.03,5940.6,True,1,31,1,1,6432.1,1.083,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.03,0.03,6092.9,True,1,31,1,1,6432.1,1.056,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.03,0.03,6245.2,True,1,31,1,1,6432.1,1.03,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.03,0.03,6397.5,True,1,31,1,1,6432.1,1.005,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.03,0.03,6549.9,False,1,31,1,1,6432.1,0.982,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.03,0.03,6702.2,False,1,31,1,1,6432.1,0.96,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.03,0.03,6854.5,False,1,31,1,1,6432.1,0.938,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.03,0.03,7006.8,False,1,31,1,1,6432.1,0.918,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.03,0.03,7159.1,False,1,31,1,1,6432.1,0.898,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.03,0.03,7311.5,False,1,31,1,1,6432.1,0.88,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.03,0.03,7463.8,False,1,31,1,1,6432.1,0.862,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.03,0.03,7616.1,False,1,31,1,1,6432.1,0.845,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.03,0.03,7768.4,False,1,31,1,1,6432.1,0.828,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.03,0.03,7920.8,False,1,31,1,1,6432.1,0.812,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.03,0.03,8073.1,False,1,31,1,1,6432.1,0.797,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.03,0.03,8225.4,False,1,31,1,1,6432.1,0.782,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.03,0.03,8377.7,False,1,31,1,1,6432.1,0.768,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
