Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-7B,3,1,3,32,32,128,0.0299735,0.010474847946166991,0.00233,0.042778347946166986,0.0245645,1.5434716342773436,647.8901055205993,80.5765283651971,84.00809086067393,1.0
Llama2-7B,3,1,3,32,32,256,0.0308295,0.010474847946166991,0.00277,0.04407434794616699,0.0245645,1.5849436342773437,630.9372638705545,80.81285142147956,81.91510102081565,1.0
Llama2-7B,3,1,3,32,32,384,0.031691,0.010474847946166991,0.00321,0.04537584794616698,0.0245645,1.6265916342773434,614.7824561044645,81.04922781461413,79.92137733762556,1.0
Llama2-7B,3,1,3,32,32,512,0.032542,0.010474847946166991,0.00365,0.04666684794616699,0.0245645,1.6679036342773437,599.555021914244,81.28550988597647,78.05826881988706,1.0
Llama2-7B,3,1,3,32,32,640,0.0333975,0.010474847946166991,0.00409,0.04796234794616698,0.0245645,1.7093596342773434,585.014399513865,81.5218586335269,76.27990365439675,1.0
Llama2-7B,3,1,3,32,32,768,0.0342535,0.010474847946166991,0.00453,0.04925834794616699,0.0245645,1.7508316342773438,571.157146365333,81.75818168980936,74.58925884381283,1.0
Llama2-7B,3,1,3,32,32,896,0.035115,0.010474847946166991,0.0049700000000000005,0.050559847946167,0.0245645,1.792479634277344,557.8863942870737,81.99455808294388,72.96966937468306,1.0
Llama2-7B,3,1,3,32,32,1024,0.035966,0.010474847946166991,0.00541,0.051850847946166984,0.0245645,1.8337916342773435,545.3182255322469,82.23084015430625,71.44841669415753,1.0
Llama2-7B,3,1,3,32,32,1152,0.0375835,0.010474847946166991,0.00585,0.053908347946166994,0.0245645,1.8996316342773438,526.4178496271563,83.07726758866498,69.07724432652043,1.0
Llama2-7B,3,1,3,32,32,1280,0.0384395,0.010474847946166991,0.0062900000000000005,0.05520434794616699,0.0245645,1.9411036342773438,515.1708452559213,83.31359064494744,67.7311023206495,1.0
Llama2-7B,3,1,3,32,32,1408,0.039301,0.010474847946166991,0.006730000000000001,0.05650584794616699,0.0245645,1.9827516342773437,504.3496032040702,83.54996703808197,66.43435205058552,1.0
Llama2-7B,3,1,3,32,32,1536,0.040152,0.010474847946166991,0.00717,0.057796847946167,0.0245645,2.024063634277344,494.05561320557604,83.78624910944431,65.21020832511793,1.0
Llama2-7B,3,1,3,32,32,1664,0.0428155,0.010474847946166991,0.0076100000000000004,0.06090034794616699,0.0245645,2.1233756342773438,470.9482316068554,85.18186538935771,62.17218748858305,1.0
Llama2-7B,3,1,3,32,32,1792,0.0436715,0.010474847946166991,0.008050000000000002,0.06219634794616699,0.0245645,2.1648476342773435,461.9262733166041,85.41818844564014,61.122663268407415,1.0
Llama2-7B,3,1,3,32,32,1920,0.044533,0.010474847946166991,0.008490000000000001,0.06349784794616699,0.0245645,2.2064956342773434,453.20733223544914,85.65456483877469,60.106104489068976,1.0
Llama2-7B,3,1,3,32,32,2048,0.045384,0.010474847946166991,0.00893,0.06478884794616699,0.0245645,2.2478076342773434,444.87792671880214,85.89084691013701,59.141745239330646,1.0
Llama2-7B,3,1,3,32,32,2176,0.0469655,0.010474847946166991,0.00937,0.066810347946167,0.0245645,2.3124956342773437,432.43324881454345,86.67558473780407,57.67237702263104,1.0
Llama2-7B,3,1,3,32,32,2304,0.0478215,0.010474847946166991,0.00981,0.06810634794616699,0.0245645,2.3539676342773435,424.8146769048484,86.91190779408652,56.79447776764017,1.0
Llama2-7B,3,1,3,32,32,2432,0.048683,0.010474847946166991,0.010249999999999999,0.06940784794616699,0.0245645,2.3956156342773434,417.4292343444561,87.14828418722108,55.94116798164983,1.0
Llama2-7B,3,1,3,32,32,2560,0.049534,0.010474847946166991,0.010689999999999998,0.07069884794616699,0.0245645,2.4369276342773434,410.3527679419763,87.38456625858345,55.12915766101531,1.0
Llama2-7B,3,1,3,32,32,2688,0.0503895,0.010474847946166991,0.011130000000000001,0.07199434794616699,0.0245645,2.4783836342773435,403.4887844518808,87.62091500613387,54.339765108637394,1.0
Llama2-7B,3,1,3,32,32,2816,0.0512455,0.010474847946166991,0.01157,0.07329034794616698,0.0245645,2.5198556342773433,396.84813145527085,87.85723806241633,53.57619087433062,1.0
Llama2-7B,3,1,3,32,32,2944,0.052107,0.010474847946166991,0.01201,0.074591847946167,0.0245645,2.5615036342773436,390.3956982993397,88.09361445555083,52.83216173903631,1.0
Llama2-7B,3,1,3,32,32,3072,0.052958,0.010474847946166991,0.01245,0.075882847946167,0.0245645,2.6028156342773436,384.1993212391488,88.32989652691323,52.122611625553056,1.0
Llama2-7B,3,1,3,32,32,3200,0.0563475,0.010474847946166991,0.012889999999999999,0.079712347946167,0.0245645,2.7253596342773436,366.9240519389875,90.27390188694322,50.06538770960515,1.0
Llama2-7B,3,1,3,32,32,3328,0.0572035,0.010474847946166991,0.013329999999999998,0.08100834794616699,0.0245645,2.7668316342773434,361.42423254503,90.51022494322565,49.44530543543317,1.0
Llama2-7B,3,1,3,32,32,3456,0.058065,0.010474847946166991,0.013770000000000001,0.082309847946167,0.0245645,2.8084796342773437,356.0645367675284,90.74660133636016,48.83890970052966,1.0
Llama2-7B,3,1,3,32,32,3584,0.058916,0.010474847946166991,0.01421,0.083600847946167,0.0245645,2.8497916342773437,350.902847763318,90.98288340772253,48.25879398620629,1.0
Llama2-7B,3,1,3,32,32,3712,0.0597715,0.010474847946166991,0.01465,0.08489634794616699,0.0245645,2.8912476342773434,345.87144599599344,91.21923215527296,47.69164241908403,1.0
Llama2-7B,3,1,3,32,32,3840,0.0606275,0.010474847946166991,0.01509,0.08619234794616698,0.0245645,2.932719634277343,340.9804293298605,91.45555521155543,47.140094847406004,1.0
Llama2-7B,3,1,3,32,32,3968,0.061489,0.010474847946166991,0.015529999999999999,0.08749384794616699,0.0245645,2.9743676342773435,336.205917680032,91.69193160468996,46.599763577982436,1.0
Llama2-7B,3,1,3,32,32,4096,0.06234,0.010474847946166991,0.015969999999999998,0.08878484794616699,0.0245645,3.0156796342773435,331.60020999366964,91.92821367605235,46.08207695503104,1.0
