Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-7B,7,32,1,32,6,128,0.285353,0.0008207499313354493,0.01165,0.2978237499313355,0.318219,9.998578997802735,3200.4547853282197,67.65524080523095,237.09314710281993,1.0
Llama2-7B,7,32,1,32,6,256,0.291465,0.0008207499313354493,0.01385,0.3061357499313354,0.318219,10.264562997802733,3117.521905886303,68.15923803820114,233.8505070529948,1.0
Llama2-7B,7,32,1,32,6,384,0.297595,0.0008207499313354493,0.016050000000000002,0.31446574993133547,0.318219,10.531122997802735,3038.6123119705885,68.6398325322138,230.6484737049139,1.0
Llama2-7B,7,32,1,32,6,512,0.305497,0.0008207499313354493,0.01825,0.32456774993133547,0.318219,10.854386997802735,2948.116739017855,69.40518663259256,227.18778460211576,1.0
Llama2-7B,7,32,1,32,6,640,0.311609,0.0008207499313354493,0.02045,0.3328797499313355,0.318219,11.120370997802736,2877.6018359749733,69.90918386556264,224.34905238796918,1.0
Llama2-7B,7,32,1,32,6,768,0.317739,0.0008207499313354493,0.02265,0.34120974993133546,0.318219,11.386930997802734,2810.2392124949947,70.38913178637539,221.5312938807494,1.0
Llama2-7B,7,32,1,32,6,896,0.325641,0.0008207499313354493,0.024850000000000004,0.35131174993133546,0.318219,11.710194997802734,2732.6615830056103,71.15513245995412,218.50790428709573,1.0
Llama2-7B,7,32,1,32,6,1024,0.331753,0.0008207499313354493,0.027049999999999998,0.3596237499313355,0.318219,11.976178997802736,2671.9707517623965,71.65912969292425,216.0014519625272,1.0
Llama2-7B,7,32,1,32,6,1152,0.341863,0.0008207499313354493,0.02925,0.37193374993133543,0.318219,12.370098997802733,2586.8830965446655,72.73066128180662,212.74797589036143,1.0
Llama2-7B,7,32,1,32,6,1280,0.349765,0.0008207499313354493,0.031450000000000006,0.3820357499313355,0.318219,12.693362997802735,2521.002511748802,73.49744887333534,210.1338009044226,1.0
Llama2-7B,7,32,1,32,6,1408,0.355877,0.0008207499313354493,0.033650000000000006,0.3903477499313355,0.318219,12.959346997802735,2469.2602185453957,74.00144610630548,207.94107544546426,1.0
Llama2-7B,7,32,1,32,6,1536,0.362007,0.0008207499313354493,0.03585,0.3986777499313355,0.318219,13.225906997802735,2419.4938014698173,74.47996053596819,205.74176890493334,1.0
Llama2-7B,7,32,1,32,6,1664,0.369909,0.0008207499313354493,0.03805,0.4087797499313355,0.318219,13.549170997802735,2361.768111509511,75.24739470069689,203.4213676896127,1.0
Llama2-7B,7,32,1,32,6,1792,0.376021,0.0008207499313354493,0.04025000000000001,0.41709174993133546,0.318219,13.815154997802734,2316.296849734188,75.75139193366707,201.45521642053782,1.0
Llama2-7B,7,32,1,32,6,1920,0.382151,0.0008207499313354493,0.04245,0.42542174993133547,0.318219,14.081714997802735,2272.450479575334,76.22925979012977,199.47418635599485,1.0
