Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,29,40,1,32,16,128,0.1663145,0.0009846627044677735,0.0058105,0.1731096627044678,0.1499815,7.224368008178712,5536.816501417975,121.8983464357655,732.9387782530417,0.6896551724137931
Llama2-13B,29,40,1,32,16,256,0.168486,0.0009846627044677735,0.0069105,0.1763811627044678,0.1499815,7.355228008178712,5438.308636458534,122.2919867891854,725.8287738398764,0.6896551724137931
Llama2-13B,29,40,1,32,16,384,0.1728785,0.0009846627044677735,0.0080105,0.18187366270446778,0.1499815,7.574928008178712,5280.578238738595,123.59107995357846,714.9013900142496,0.6896551724137931
Llama2-13B,29,40,1,32,16,512,0.17505,0.0009846627044677735,0.0091105,0.1851451627044678,0.1499815,7.705788008178712,5190.90324799295,123.98472030699843,708.2817498257548,0.6896551724137931
Llama2-13B,29,40,1,32,16,640,0.1794425,0.0009846627044677735,0.0102105,0.1906376627044678,0.1499815,7.9254880081787125,5047.007825729087,125.28381347139144,698.1836157621044,0.6896551724137931
Llama2-13B,29,40,1,32,16,768,0.181614,0.0009846627044677735,0.0113105,0.19390916270446779,0.1499815,8.05634800817871,4965.028814469343,125.6774538248114,692.0031155352084,0.6896551724137931
Llama2-13B,29,40,1,32,16,896,0.1860065,0.0009846627044677735,0.0124105,0.19940166270446777,0.1499815,8.27604800817871,4833.22474210764,126.9765469892045,682.6457515689206,0.6896551724137931
Llama2-13B,29,40,1,32,16,1024,0.188178,0.0009846627044677735,0.0135105,0.2026731627044678,0.1499815,8.406908008178712,4757.991875382216,127.37018734262439,676.8601395626712,0.6896551724137931
Llama2-13B,29,40,1,32,16,1152,0.194589,0.0009846627044677735,0.0146105,0.2101841627044678,0.1499815,8.70734800817871,4593.821214269657,129.6197351734788,666.120567830035,0.6896551724137931
Llama2-13B,29,40,1,32,16,1280,0.1967605,0.0009846627044677735,0.015710500000000002,0.2134556627044678,0.1499815,8.838208008178713,4525.804321756712,130.01337552689864,660.7696947654563,0.6896551724137931
Llama2-13B,29,40,1,32,16,1408,0.201153,0.0009846627044677735,0.0168105,0.2189481627044678,0.1499815,9.057908008178712,4416.030717455129,131.3124686912917,652.7989574666633,0.6896551724137931
Llama2-13B,29,40,1,32,16,1536,0.2033245,0.0009846627044677735,0.0179105,0.22221966270446777,0.1499815,9.18876800817871,4353.140700080459,131.70610904471167,647.7631030432223,0.6896551724137931
Llama2-13B,29,40,1,32,16,1664,0.207717,0.0009846627044677735,0.0190105,0.2277121627044678,0.1499815,9.408468008178714,4251.48918668037,133.00520220910474,640.3192911947731,0.6896551724137931
Llama2-13B,29,40,1,32,16,1792,0.2098885,0.0009846627044677735,0.0201105,0.2309836627044678,0.1499815,9.539328008178712,4193.167481577873,133.3988425625246,635.570041057631,0.6896551724137931
Llama2-13B,29,40,1,32,16,1920,0.214281,0.0009846627044677735,0.021210499999999997,0.23647616270446778,0.1499815,9.759028008178712,4098.768849364645,134.69793572691768,628.6041960179281,0.6896551724137931
Llama2-13B,29,40,1,32,16,2048,0.2164525,0.0009846627044677735,0.0223105,0.2397476627044678,0.1499815,9.88988800817871,4044.5351824935647,135.09157608033763,624.1164970621156,0.6896551724137931
Llama2-13B,29,40,1,32,16,2176,0.222835,0.0009846627044677735,0.023410499999999997,0.2472301627044678,0.1499815,10.189188008178713,3925.729897995069,137.29055021688194,616.1085566310581,0.6896551724137931
Llama2-13B,29,40,1,32,16,2304,0.2250065,0.0009846627044677735,0.0245105,0.2505016627044678,0.1499815,10.320048008178711,3875.9509614974386,137.68419057030184,611.9120584085429,0.6896551724137931
Llama2-13B,29,40,1,32,16,2432,0.229399,0.0009846627044677735,0.025610499999999998,0.2559941627044678,0.1499815,10.53974800817871,3795.157148819925,138.98328373469488,605.8582807017244,0.6896551724137931
Llama2-13B,29,40,1,32,16,2560,0.2315705,0.0009846627044677735,0.0267105,0.2592656627044678,0.1499815,10.670608008178712,3748.6148839261227,139.3769240881148,601.8768542975672,0.6896551724137931
