Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-7B,6,1,6,32,32,128,0.023039,0.011547731552124022,0.00233,0.03691673155212402,0.0162965,1.3476319096679685,742.0423877068787,103.76016286283146,140.7398363411382,1.0
Llama2-7B,6,1,6,32,32,256,0.023895,0.011547731552124022,0.00277,0.03821273155212402,0.0162965,1.3891039096679685,719.8885504821778,103.99843197108665,136.00966725659998,1.0
Llama2-7B,6,1,6,32,32,384,0.0247565,0.011547731552124022,0.00321,0.03951423155212402,0.0162965,1.4307519096679684,698.9331925700997,104.23675441619392,131.57750794765252,1.0
Llama2-7B,6,1,6,32,32,512,0.0256075,0.011547731552124022,0.00365,0.040805231552124024,0.0162965,1.4720639096679686,679.3183321949351,104.47498253952907,127.49558544802431,1.0
Llama2-7B,6,1,6,32,32,640,0.026463,0.011547731552124022,0.00409,0.042100731552124016,0.0162965,1.5135199096679683,660.7114935272818,104.71327733905217,123.65528915260481,1.0
Llama2-7B,6,1,6,32,32,768,0.027319,0.011547731552124022,0.00453,0.04339673155212402,0.0162965,1.5549919096679685,643.0901625806697,104.95154644730735,120.05328988902795,1.0
Llama2-7B,6,1,6,32,32,896,0.0281805,0.011547731552124022,0.0049700000000000005,0.044698231552124025,0.0162965,1.5966399096679686,626.3152974849265,105.18986889241465,116.64744780567975,1.0
Llama2-7B,6,1,6,32,32,1024,0.0290315,0.011547731552124022,0.00541,0.04598923155212402,0.0162965,1.6379519096679684,610.5185348223755,105.42809701574974,113.4845954133331,1.0
Llama2-7B,6,1,6,32,32,1152,0.030649,0.011547731552124022,0.00585,0.04804673155212402,0.0162965,1.7037919096679686,586.9261347736285,106.27647050208125,108.36045884661942,1.0
Llama2-7B,6,1,6,32,32,1280,0.031505,0.011547731552124022,0.0062900000000000005,0.04934273155212403,0.0162965,1.7452639096679687,572.9792465543203,106.51473961033645,105.65261427782933,1.0
Llama2-7B,6,1,6,32,32,1408,0.0323665,0.011547731552124022,0.006730000000000001,0.050644231552124025,0.0162965,1.7869119096679686,559.6246768458849,106.75306205544369,103.07055718822285,1.0
Llama2-7B,6,1,6,32,32,1536,0.0332175,0.011547731552124022,0.00717,0.05193523155212402,0.0162965,1.8282239096679684,546.9789530220148,106.99129017877878,100.65410756639838,1.0
Llama2-7B,6,1,6,32,32,1664,0.034073,0.011547731552124022,0.0076100000000000004,0.05323073155212402,0.0162965,1.8696799096679686,534.8509094145357,107.22958497830197,98.34545037337294,1.0
Llama2-7B,6,1,6,32,32,1792,0.034929,0.011547731552124022,0.008050000000000002,0.05452673155212402,0.0162965,1.9111519096679686,523.2446436838889,107.46785408655714,96.14848521872685,1.0
