Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,22,1,22,32,32,128,0.0232955,0.015213417205810546,0.00290525,0.041414167205810544,0.0095285,1.8160951882324217,550.6319307928375,356.0841149868131,382.13830459403414,1.0
Llama2-13B,22,1,22,32,32,256,0.0244155,0.015213417205810546,0.00345525,0.04308416720581055,0.0095285,1.8828951882324219,531.0970075497169,356.57347937744527,365.10974522070535,1.0
Llama2-13B,22,1,22,32,32,384,0.025498,0.015213417205810546,0.00400525,0.04471666720581055,0.0095285,1.948195188232422,513.295590729433,357.06244799857654,350.08868146381724,1.0
Llama2-13B,22,1,22,32,32,512,0.026613,0.015213417205810546,0.00455525,0.04638166720581055,0.0095285,2.014795188232422,496.3283642131879,357.5517665985585,335.8807411777689,1.0
Llama2-13B,22,1,22,32,32,640,0.0277755,0.015213417205810546,0.00510525,0.04809416720581055,0.0095285,2.083295188232422,480.00878879216964,358.0416201033415,322.2638837314733,1.0
Llama2-13B,22,1,22,32,32,768,0.0288955,0.015213417205810546,0.00565525,0.04976416720581055,0.0095285,2.150095188232422,465.09568761097177,358.5309844939736,310.1962109099804,1.0
Llama2-13B,22,1,22,32,32,896,0.029978,0.015213417205810546,0.00620525,0.05139666720581055,0.0095285,2.215395188232422,451.3867346610341,359.0199531151049,299.4028563572493,1.0
Llama2-13B,22,1,22,32,32,1024,0.031093,0.015213417205810546,0.00675525,0.05306166720581054,0.0095285,2.2819951882324214,438.2130186587185,359.5092717150869,289.0596530690886,1.0
Llama2-13B,22,1,22,32,32,1152,0.0336455,0.015213417205810546,0.00730525,0.05616416720581055,0.0095285,2.4060951882324217,415.61115490805884,361.310774599145,268.4688699819775,1.0
Llama2-13B,22,1,22,32,32,1280,0.0347655,0.015213417205810546,0.007855250000000001,0.05783416720581055,0.0095285,2.472895188232422,404.3843041786097,361.80013898977705,260.17182191380607,1.0
Llama2-13B,22,1,22,32,32,1408,0.035848,0.015213417205810546,0.00840525,0.05946666720581055,0.0095285,2.538195188232422,393.9807327018028,362.2891076109084,252.6564296550075,1.0
Llama2-13B,22,1,22,32,32,1536,0.036963,0.015213417205810546,0.00895525,0.06113166720581055,0.0095285,2.604795188232422,383.9073430869573,362.7784262108903,245.3659241747763,1.0
Llama2-13B,22,1,22,32,32,1664,0.0381255,0.015213417205810546,0.00950525,0.06284416720581054,0.0095285,2.6732951882324216,374.0701754156818,363.2682797156734,238.20558400261856,1.0
Llama2-13B,22,1,22,32,32,1792,0.0392455,0.015213417205810546,0.01005525,0.06451416720581055,0.0095285,2.740095188232422,364.9508251737339,363.7576441063055,231.7193334944805,1.0
Llama2-13B,22,1,22,32,32,1920,0.040328,0.015213417205810546,0.010605249999999998,0.06614666720581054,0.0095285,2.8053951882324215,356.4560188149692,364.24661272743674,225.8025520280182,1.0
Llama2-13B,22,1,22,32,32,2048,0.041443,0.015213417205810546,0.01115525,0.06781166720581056,0.0095285,2.871995188232422,348.1899984015826,364.73593132741865,220.02264032974134,1.0
Llama2-13B,22,1,22,32,32,2176,0.0439635,0.015213417205810546,0.011705249999999999,0.07088216720581055,0.0095285,2.9948151882324217,333.910420893188,366.4563480299356,208.3867003479793,1.0
Llama2-13B,22,1,22,32,32,2304,0.0450835,0.015213417205810546,0.01225525,0.07255216720581054,0.0095285,3.0616151882324214,326.6249801227748,366.9457124205677,203.48115852837932,1.0
Llama2-13B,22,1,22,32,32,2432,0.046166,0.015213417205810546,0.012805249999999999,0.07418466720581054,0.0095285,3.1269151882324215,319.8040048426381,367.4346810416989,198.97472222073543,1.0
Llama2-13B,22,1,22,32,32,2560,0.047281,0.015213417205810546,0.01335525,0.07584966720581054,0.0095285,3.1935151882324218,313.13456835428104,367.9239996416809,194.54114741739855,1.0
Llama2-13B,22,1,22,32,32,2688,0.0484435,0.015213417205810546,0.01390525,0.07756216720581054,0.0095285,3.2620151882324215,306.5589650248891,368.413853146464,190.12553446100307,1.0
Llama2-13B,22,1,22,32,32,2816,0.0495635,0.015213417205810546,0.014455250000000001,0.07923216720581056,0.0095285,3.328815188232422,300.4071849753224,368.90321753709605,186.0760527086949,1.0
Llama2-13B,22,1,22,32,32,2944,0.050646,0.015213417205810546,0.01500525,0.08086466720581054,0.0095285,3.3941151882324214,294.6275964549033,369.39218615822733,182.34025695920076,1.0
Llama2-13B,22,1,22,32,32,3072,0.051761,0.015213417205810546,0.015555250000000001,0.08252966720581055,0.0095285,3.460715188232422,288.9576129813662,369.88150475820936,178.6487436285086,1.0
Llama2-13B,22,1,22,32,32,3200,0.0542815,0.015213417205810546,0.01610525,0.08560016720581055,0.0095285,3.583535188232422,279.05404788092784,371.6019214607263,171.1457501454115,1.0
Llama2-13B,22,1,22,32,32,3328,0.0554015,0.015213417205810546,0.01665525,0.08727016720581054,0.0095285,3.6503351882324218,273.94744549040263,372.0912858513583,167.90668386747578,1.0
Llama2-13B,22,1,22,32,32,3456,0.056484,0.015213417205810546,0.017205250000000002,0.08890266720581055,0.0095285,3.715635188232422,269.13298785818466,372.5802544724895,164.90521850103107,1.0
Llama2-13B,22,1,22,32,32,3584,0.057599,0.015213417205810546,0.017755250000000004,0.09056766720581054,0.0095285,3.7822351882324217,264.39392323123536,373.0695730724715,161.92536896147138,1.0
Llama2-13B,22,1,22,32,32,3712,0.0587615,0.015213417205810546,0.018305250000000002,0.09228016720581056,0.0095285,3.8507351882324223,259.69066973390693,373.55942657725444,158.93034834766576,1.0
Llama2-13B,22,1,22,32,32,3840,0.0598815,0.015213417205810546,0.018855250000000004,0.09395016720581055,0.0095285,3.917535188232422,255.2625444192108,374.04879096788665,156.16208301724518,1.0
Llama2-13B,22,1,22,32,32,3968,0.060964,0.015213417205810546,0.019405250000000002,0.09558266720581055,0.0095285,3.9828351882324218,251.07742418129007,374.53775958901787,153.58972491512122,1.0
Llama2-13B,22,1,22,32,32,4096,0.062079,0.015213417205810546,0.01995525,0.09724766720581055,0.0095285,4.049435188232422,246.94801954257224,375.0270781889999,151.02815694075292,1.0
