Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,11,40,1,32,8,128,0.324089,0.0009846627044677735,0.011621,0.3366946627044678,0.297246,13.915032508178712,2874.5890443654775,119.39599183764719,368.40494999104305,0.9090909090909091
Llama2-13B,11,40,1,32,8,256,0.330581,0.0009846627044677735,0.013821,0.34538666270446783,0.297246,14.262712508178712,2804.5156191056,120.20763591106893,363.62536235013164,0.9090909090909091
Llama2-13B,11,40,1,32,8,384,0.337073,0.0009846627044677735,0.016021,0.3540786627044678,0.297246,14.610392508178712,2737.777234773707,121.01927998449075,359.02988368837214,0.9090909090909091
Llama2-13B,11,40,1,32,8,512,0.343565,0.0009846627044677735,0.018221,0.3627706627044678,0.297246,14.958072508178711,2674.1413359327526,121.8309240579125,354.6080772427704,0.9090909090909091
Llama2-13B,11,40,1,32,8,640,0.350057,0.0009846627044677735,0.020421,0.3714626627044678,0.297246,15.305752508178713,2613.3964977302344,122.64256813133424,350.3502804724208,0.9090909090909091
Llama2-13B,11,40,1,32,8,768,0.356549,0.0009846627044677735,0.022621,0.3801546627044678,0.297246,15.653432508178712,2555.3500792302602,123.45421220475602,346.247534573806,0.9090909090909091
Llama2-13B,11,40,1,32,8,896,0.363041,0.0009846627044677735,0.024821,0.38884666270446777,0.297246,16.00111250817871,2499.8261826829007,124.26585627817776,342.29152155866075,0.9090909090909091
Llama2-13B,11,40,1,32,8,1024,0.369533,0.0009846627044677735,0.027021,0.3975386627044678,0.297246,16.34879250817871,2446.6638731875423,125.07750035159954,338.4745079643754,0.9090909090909091
Llama2-13B,11,40,1,32,8,1152,0.379373,0.0009846627044677735,0.029221,0.4095786627044678,0.297246,16.83039250817871,2376.6528309165724,126.65426380396181,333.8515492772596,0.9090909090909091
Llama2-13B,11,40,1,32,8,1280,0.385865,0.0009846627044677735,0.031421000000000004,0.4182706627044678,0.297246,17.178072508178712,2328.5499569847234,127.46590787738359,330.33809202022354,0.9090909090909091
Llama2-13B,11,40,1,32,8,1408,0.392357,0.0009846627044677735,0.033621,0.4269626627044678,0.297246,17.525752508178712,2282.355635304862,128.27755195080536,326.9409031846133,0.9090909090909091
Llama2-13B,11,40,1,32,8,1536,0.398849,0.0009846627044677735,0.035821,0.4356546627044678,0.297246,17.873432508178713,2237.9584884826336,129.08919602422714,323.6543053241378,0.9090909090909091
Llama2-13B,11,40,1,32,8,1664,0.405341,0.0009846627044677735,0.038021,0.44434666270446777,0.297246,18.22111250817871,2195.2556399641153,129.90084009764885,320.4729847157057,0.9090909090909091
Llama2-13B,11,40,1,32,8,1792,0.411833,0.0009846627044677735,0.040221,0.4530386627044678,0.297246,18.56879250817871,2154.15191819187,130.7124841710706,317.39196269135937,0.9090909090909091
Llama2-13B,11,40,1,32,8,1920,0.418325,0.0009846627044677735,0.04242099999999999,0.4617306627044678,0.297246,18.91647250817871,2114.5591485254786,131.5241282444924,314.40656963961595,0.9090909090909091
Llama2-13B,11,40,1,32,8,2048,0.424817,0.0009846627044677735,0.044621,0.4704226627044678,0.297246,19.26415250817871,2076.395521838698,132.33577231791418,311.51242139065556,0.9090909090909091
Llama2-13B,11,40,1,32,8,2176,0.434657,0.0009846627044677735,0.046820999999999995,0.4824626627044678,0.297246,19.74575250817871,2025.7521197752253,133.91253577027643,308.08783884827915,0.9090909090909091
Llama2-13B,11,40,1,32,8,2304,0.441149,0.0009846627044677735,0.049021,0.4911546627044678,0.297246,20.09343250817871,1990.700194390313,134.7241798436982,305.39382350112584,0.9090909090909091
Llama2-13B,11,40,1,32,8,2432,0.447641,0.0009846627044677735,0.051220999999999996,0.4998466627044678,0.297246,20.441112508178712,1956.8406555169422,135.53582391711998,302.77794910904043,0.9090909090909091
Llama2-13B,11,40,1,32,8,2560,0.454133,0.0009846627044677735,0.053421,0.5085386627044678,0.297246,20.788792508178712,1924.1136773222026,136.3474679905418,300.2368645100481,0.9090909090909091
Llama2-13B,11,40,1,32,8,2688,0.460625,0.0009846627044677735,0.055621,0.5172306627044678,0.297246,21.136472508178713,1892.4633703434708,137.1591120639635,297.7674074658637,0.9090909090909091
Llama2-13B,11,40,1,32,8,2816,0.467117,0.0009846627044677735,0.057821000000000004,0.5259226627044677,0.297246,21.48415250817871,1861.8374629752125,137.97075613738525,295.36659153356703,0.9090909090909091
Llama2-13B,11,40,1,32,8,2944,0.473609,0.0009846627044677735,0.060021,0.5346146627044678,0.297246,21.83183250817871,1832.1870133904276,138.78240021080705,293.0315940170203,0.9090909090909091
Llama2-13B,11,40,1,32,8,3072,0.480101,0.0009846627044677735,0.062221000000000005,0.5433066627044678,0.297246,22.17951250817871,1803.4661485571414,139.59404428422883,290.7597448958214,0.9090909090909091
Llama2-13B,11,40,1,32,8,3200,0.489941,0.0009846627044677735,0.064421,0.5553466627044679,0.297246,22.661112508178714,1765.1384055201809,141.17080773659106,288.13838347186913,0.9090909090909091
Llama2-13B,11,40,1,32,8,3328,0.496433,0.0009846627044677735,0.066621,0.5640386627044678,0.297246,23.00879250817871,1738.4658489045694,141.98245181001283,286.00526518183284,0.9090909090909091
Llama2-13B,11,40,1,32,8,3456,0.502925,0.0009846627044677735,0.06882100000000001,0.5727306627044677,0.297246,23.356472508178708,1712.5873774814775,142.7940958834346,283.9272175442354,0.9090909090909091
Llama2-13B,11,40,1,32,8,3584,0.509417,0.0009846627044677735,0.07102100000000001,0.5814226627044677,0.297246,23.70415250817871,1687.4680495832404,143.60573995685635,281.9021351012163,0.9090909090909091
Llama2-13B,11,40,1,32,8,3712,0.515909,0.0009846627044677735,0.07322100000000001,0.5901146627044677,0.297246,24.051832508178705,1663.0749439319518,144.41738403027819,279.92801837199596,0.9090909090909091
Llama2-13B,11,40,1,32,8,3840,0.522401,0.0009846627044677735,0.07542100000000002,0.5988066627044677,0.297246,24.39951250817871,1639.3770156920968,145.2290281036999,278.0029672678648,0.9090909090909091
Llama2-13B,11,40,1,32,8,3968,0.528893,0.0009846627044677735,0.07762100000000001,0.6074986627044677,0.297246,24.74719250817871,1616.3449646573195,146.04067217712165,276.1251749921472,0.9090909090909091
Llama2-13B,11,40,1,32,8,4096,0.535385,0.0009846627044677735,0.079821,0.6161906627044678,0.297246,25.09487250817871,1593.9511143945256,146.85231625054345,274.29292238397306,0.9090909090909091
