Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-7B,23,32,1,32,16,128,0.109579,0.0008207499313354493,0.00466,0.11505974993133544,0.12064,3.952551997802734,8096.035173677447,63.04788012946993,575.3646239650841,0.6956521739130435
Llama2-7B,23,32,1,32,16,256,0.1112945,0.0008207499313354493,0.00554,0.11765524993133546,0.12064,4.035607997802734,7929.412375390034,63.278586497542406,568.568855581744,0.6956521739130435
Llama2-7B,23,32,1,32,16,384,0.114779,0.0008207499313354493,0.00642,0.12201974993133545,0.12064,4.175271997802735,7664.171344247803,64.08874667284802,558.3664840506365,0.6956521739130435
Llama2-7B,23,32,1,32,16,512,0.1164945,0.0008207499313354493,0.0073,0.12461524993133545,0.12064,4.258327997802735,7514.686519336171,64.31945304092046,552.1243753217575,0.6956521739130435
Llama2-7B,23,32,1,32,16,640,0.119979,0.0008207499313354493,0.00818,0.12897974993133546,0.12064,4.397991997802735,7276.0477999931345,65.12961321622609,542.8417741123536,0.6956521739130435
Llama2-7B,23,32,1,32,16,768,0.1216945,0.0008207499313354493,0.00906,0.13157524993133546,0.12064,4.481047997802735,7141.186618775581,65.36031958429852,537.0852387272928,0.6956521739130435
Llama2-7B,23,32,1,32,16,896,0.125179,0.0008207499313354493,0.009940000000000001,0.13593974993133548,0.12064,4.620711997802736,6925.339647919369,66.17047975960412,528.6068730346473,0.6956521739130435
Llama2-7B,23,32,1,32,16,1024,0.1268945,0.0008207499313354493,0.01082,0.13853524993133545,0.12064,4.703767997802735,6803.056616514275,66.4011861276766,523.2786773869362,0.6956521739130435
Llama2-7B,23,32,1,32,16,1152,0.1317655,0.0008207499313354493,0.0117,0.14428624993133546,0.12064,4.887799997802735,6546.912724412886,67.74805085402052,514.1562158077837,0.6956521739130435
Llama2-7B,23,32,1,32,16,1280,0.133481,0.0008207499313354493,0.012580000000000001,0.14688174993133546,0.12064,4.970855997802735,6437.523037107682,67.97875722209295,509.2766552699858,0.6956521739130435
Llama2-7B,23,32,1,32,16,1408,0.1369655,0.0008207499313354493,0.013460000000000001,0.15124624993133545,0.12064,5.110519997802735,6261.593734836843,68.78891739739856,502.2353614406443,0.6956521739130435
Llama2-7B,23,32,1,32,16,1536,0.138681,0.0008207499313354493,0.01434,0.15384174993133545,0.12064,5.193575997802735,6161.4579267807685,69.01962376547107,497.68622785724807,0.6956521739130435
Llama2-7B,23,32,1,32,16,1664,0.1421655,0.0008207499313354493,0.015220000000000001,0.15820624993133547,0.12064,5.333239997802735,6000.105004309541,69.82978394077664,491.18656735126746,0.6956521739130435
Llama2-7B,23,32,1,32,16,1792,0.143881,0.0008207499313354493,0.016100000000000003,0.16080174993133547,0.12064,5.416295997802735,5908.096605684337,70.0604903088491,486.93357919981855,0.6956521739130435
Llama2-7B,23,32,1,32,16,1920,0.1473655,0.0008207499313354493,0.016980000000000002,0.16516624993133547,0.12064,5.555959997802735,5759.580704802649,70.87065048415467,480.91751790042224,0.6956521739130435
Llama2-7B,23,32,1,32,16,2048,0.149081,0.0008207499313354493,0.01786,0.16776174993133547,0.12064,5.639015997802735,5674.748930038313,71.10135685222713,476.93104320622433,0.6956521739130435
Llama2-7B,23,32,1,32,16,2176,0.1539235,0.0008207499313354493,0.01874,0.17348424993133546,0.12064,5.822135997802735,5496.264603244711,72.41097887632046,470.434851574454,0.6956521739130435
Llama2-7B,23,32,1,32,16,2304,0.155639,0.0008207499313354493,0.01962,0.17607974993133546,0.12064,5.905191997802735,5418.960130662456,72.64168524439296,466.7318939622647,0.6956521739130435
Llama2-7B,23,32,1,32,16,2432,0.1591235,0.0008207499313354493,0.020499999999999997,0.18044424993133545,0.12064,6.044855997802735,5293.757206396941,73.45184541969853,461.6027514458802,0.6956521739130435
Llama2-7B,23,32,1,32,16,2560,0.160839,0.0008207499313354493,0.021379999999999996,0.18303974993133548,0.12064,6.127911997802736,5222.0071064131025,73.68255178777098,458.11371488116055,0.6956521739130435
Llama2-7B,23,32,1,32,16,2688,0.1643235,0.0008207499313354493,0.022260000000000002,0.18740424993133548,0.12064,6.267575997802735,5105.642119252873,74.49271196307659,453.3296330900727,0.6956521739130435
Llama2-7B,23,32,1,32,16,2816,0.166039,0.0008207499313354493,0.02314,0.18999974993133545,0.12064,6.350631997802735,5038.868574194148,74.72341833114903,450.0353430889673,0.6956521739130435
Llama2-7B,23,32,1,32,16,2944,0.1695235,0.0008207499313354493,0.02402,0.19436424993133544,0.12064,6.490295997802734,4930.437688948776,75.53357850645465,445.5640575286295,0.6956521739130435
Llama2-7B,23,32,1,32,16,3072,0.171239,0.0008207499313354493,0.0249,0.19695974993133547,0.12064,6.573351997802735,4868.140335508671,75.76428487452712,442.4476017409999,0.6956521739130435
Llama2-7B,23,32,1,32,16,3200,0.1760815,0.0008207499313354493,0.025779999999999997,0.20268224993133546,0.12064,6.756471997802735,4736.1996039362975,77.07390689862044,437.7172326372754,0.6956521739130435
Llama2-7B,23,32,1,32,16,3328,0.177797,0.0008207499313354493,0.026659999999999996,0.20527774993133546,0.12064,6.839527997802735,4678.685431257875,77.30461326669288,434.7914378009352,0.6956521739130435
Llama2-7B,23,32,1,32,16,3456,0.1812815,0.0008207499313354493,0.027540000000000002,0.20964224993133548,0.12064,6.979191997802736,4585.057985233045,78.11477344199848,430.90317237003484,0.6956521739130435
Llama2-7B,23,32,1,32,16,3584,0.182997,0.0008207499313354493,0.02842,0.21223774993133546,0.12064,7.062247997802735,4531.135130054355,78.34547981007094,428.12439444401247,0.6956521739130435
Llama2-7B,23,32,1,32,16,3712,0.1864815,0.0008207499313354493,0.0293,0.21660224993133545,0.12064,7.201911997802735,4443.264512224397,79.15563998537654,424.46912956715016,0.6956521739130435
Llama2-7B,23,32,1,32,16,3840,0.188197,0.0008207499313354493,0.03018,0.21919774993133545,0.12064,7.284967997802735,4392.60680481393,79.38634635344903,421.8257801848542,0.6956521739130435
Llama2-7B,23,32,1,32,16,3968,0.1916815,0.0008207499313354493,0.031059999999999997,0.22356224993133547,0.12064,7.424631997802735,4309.9779234135995,80.19650652875458,418.38417650505966,0.6956521739130435
Llama2-7B,23,32,1,32,16,4096,0.193397,0.0008207499313354493,0.031939999999999996,0.22615774993133547,0.12064,7.507687997802735,4262.297528795202,80.42721289682707,415.86587639325865,0.6956521739130435
