Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,17,1,17,32,32,128,0.0232955,0.015243219528198241,0.00290525,0.04144396952819824,0.010106,1.8178647811279294,550.0959204344839,276.62273559227657,296.86284431786873,1.0
Llama2-13B,17,1,17,32,32,256,0.0244155,0.015243219528198241,0.00345525,0.043113969528198244,0.010106,1.8846647811279296,530.5983377062538,277.10703213922966,283.74089424671797,1.0
Llama2-13B,17,1,17,32,32,384,0.025498,0.015243219528198241,0.00400525,0.044746469528198246,0.010106,1.9499647811279297,512.8297750185848,277.5909329166819,272.1693200610654,1.0
Llama2-13B,17,1,17,32,32,512,0.026613,0.015243219528198241,0.00455525,0.046411469528198246,0.010106,2.0165647811279297,495.89282197057304,278.07518367298485,261.2211923430137,1.0
Llama2-13B,17,1,17,32,32,640,0.0277755,0.015243219528198241,0.00510525,0.048123969528198245,0.010106,2.08506478112793,479.6014056978332,278.5599693340888,250.72453181228857,1.0
Llama2-13B,17,1,17,32,32,768,0.0288955,0.015243219528198241,0.00565525,0.04979396952819824,0.010106,2.1518647811279297,464.7132146824933,279.04426588104195,241.4253654384263,1.0
Llama2-13B,17,1,17,32,32,896,0.029978,0.015243219528198241,0.00620525,0.051426469528198245,0.010106,2.21716478112793,451.02646790703295,279.5281666584943,233.11108701255435,1.0
Llama2-13B,17,1,17,32,32,1024,0.031093,0.015243219528198241,0.00675525,0.05309146952819824,0.010106,2.283764781127929,437.87346589437715,280.0124174147973,225.14104252950602,1.0
Llama2-13B,17,1,17,32,32,1152,0.0336455,0.015243219528198241,0.00730525,0.056193969528198245,0.010106,2.4078647811279295,415.305713110503,281.80885245517624,209.39564908767613,1.0
Llama2-13B,17,1,17,32,32,1280,0.0347655,0.015243219528198241,0.007855250000000001,0.05786396952819824,0.010106,2.4746647811279296,404.09513548102024,282.2931490021294,202.99805051137582,1.0
Llama2-13B,17,1,17,32,32,1408,0.035848,0.015243219528198241,0.00840525,0.059496469528198245,0.010106,2.53996478112793,393.70624641335655,282.77704977958166,197.20559709020148,1.0
Llama2-13B,17,1,17,32,32,1536,0.036963,0.015243219528198241,0.00895525,0.061161469528198245,0.010106,2.6065647811279296,383.6467089712129,283.2613005358847,191.58435498734184,1.0
Llama2-13B,17,1,17,32,32,1664,0.0381255,0.015243219528198241,0.00950525,0.06287396952819824,0.010106,2.6750647811279293,373.82272274481306,283.7460861969886,186.06056720370137,1.0
Llama2-13B,17,1,17,32,32,1792,0.0392455,0.015243219528198241,0.01005525,0.06454396952819824,0.010106,2.7418647811279295,364.7152867942039,284.2303827439417,181.0592187282247,1.0
Llama2-13B,17,1,17,32,32,1920,0.040328,0.015243219528198241,0.010605249999999998,0.06617646952819824,0.010106,2.807164781127929,356.23131450024687,284.71428352139395,176.49913429961444,1.0
Llama2-13B,17,1,17,32,32,2048,0.041443,0.015243219528198241,0.01115525,0.06784146952819825,0.010106,2.87376478112793,347.9755916583778,285.198534277697,172.0426454875957,1.0
Llama2-13B,17,1,17,32,32,2176,0.0439635,0.015243219528198241,0.011705249999999999,0.07091196952819824,0.010106,2.9965847811279294,333.7132345788645,286.91388313653476,163.15459593556864,1.0
Llama2-13B,17,1,17,32,32,2304,0.0450835,0.015243219528198241,0.01225525,0.07258196952819823,0.010106,3.063384781127929,326.43630214543373,287.3981796834878,159.36993561030525,1.0
Llama2-13B,17,1,17,32,32,2432,0.046166,0.015243219528198241,0.012805249999999999,0.07421446952819824,0.010106,3.1286847811279292,319.62312279969854,287.8820804609402,155.89507454671198,1.0
Llama2-13B,17,1,17,32,32,2560,0.047281,0.015243219528198241,0.01335525,0.07587946952819824,0.010106,3.1952847811279295,312.9611501003682,288.36633121724316,152.47474208310058,1.0
Llama2-13B,17,1,17,32,32,2688,0.0484435,0.015243219528198241,0.01390525,0.07759196952819823,0.010106,3.2637847811279292,306.39275168579303,288.85111687834717,149.06598247357599,1.0
Llama2-13B,17,1,17,32,32,2816,0.0495635,0.015243219528198241,0.014455250000000001,0.07926196952819825,0.010106,3.33058478112793,300.247573839373,289.3354134253004,145.9417784384175,1.0
Llama2-13B,17,1,17,32,32,2944,0.050646,0.015243219528198241,0.01500525,0.08089446952819823,0.010106,3.395884781127929,294.4740662455144,289.8193142027525,143.0613050402562,1.0
Llama2-13B,17,1,17,32,32,3072,0.051761,0.015243219528198241,0.015555250000000001,0.08255946952819825,0.010106,3.46248478112793,288.80993367839227,290.3035649590556,140.21346426800852,1.0
Llama2-13B,17,1,17,32,32,3200,0.0542815,0.015243219528198241,0.01610525,0.08562996952819825,0.010106,3.5853047811279297,278.9163156403685,292.0189138178934,134.49283541256847,1.0
Llama2-13B,17,1,17,32,32,3328,0.0554015,0.015243219528198241,0.01665525,0.08729996952819824,0.010106,3.6521047811279295,273.81470684177805,292.50321036484644,131.99245975508177,1.0
