Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,21,1,21,32,32,128,0.0232955,0.014885591659545897,0.00290525,0.041086341659545896,0.0095285,1.8029821663818357,554.6366562275913,340.19183910790576,365.0832125388012,1.0
Llama2-13B,21,1,21,32,32,256,0.0244155,0.014885591659545897,0.00345525,0.0427563416595459,0.0095285,1.869782166381836,534.8216588968074,340.68018992980217,348.8359750259079,1.0
Llama2-13B,21,1,21,32,32,384,0.025498,0.014885591659545897,0.00400525,0.0443888416595459,0.0095285,1.935082166381836,516.7739217346893,341.1681449821976,334.5048091832669,1.0
Llama2-13B,21,1,21,32,32,512,0.026613,0.014885591659545897,0.00455525,0.0460538416595459,0.0095285,2.001682166381836,499.57981181775807,341.6564500134437,320.94883141081766,1.0
Llama2-13B,21,1,21,32,32,640,0.0277755,0.014885591659545897,0.00510525,0.0477663416595459,0.0095285,2.0701821663818363,483.04927761393645,342.1452899494909,307.9560133476364,1.0
Llama2-13B,21,1,21,32,32,768,0.0288955,0.014885591659545897,0.00565525,0.0494363416595459,0.0095285,2.136982166381836,467.94962341361907,342.63364077138726,296.4420418156696,1.0
Llama2-13B,21,1,21,32,32,896,0.029978,0.014885591659545897,0.00620525,0.0510688416595459,0.0095285,2.202282166381836,454.0744211914115,343.1215958237827,286.14450248831037,1.0
Llama2-13B,21,1,21,32,32,1024,0.031093,0.014885591659545897,0.00675525,0.052733841659545894,0.0095285,2.2688821663818355,440.7456741549035,343.60990085502897,276.2759309611721,1.0
Llama2-13B,21,1,21,32,32,1152,0.0336455,0.014885591659545897,0.00730525,0.0558363416595459,0.0095285,2.392982166381836,417.8886136506356,345.4103901703511,256.65422580311724,1.0
Llama2-13B,21,1,21,32,32,1280,0.0347655,0.014885591659545897,0.007855250000000001,0.0575063416595459,0.0095285,2.459782166381836,406.54006426549904,345.89874099224755,248.73706763332007,1.0
Llama2-13B,21,1,21,32,32,1408,0.035848,0.014885591659545897,0.00840525,0.0591388416595459,0.0095285,2.525082166381836,396.0267167990377,346.3866960446429,241.5662631420463,1.0
Llama2-13B,21,1,21,32,32,1536,0.036963,0.014885591659545897,0.00895525,0.0608038416595459,0.0095285,2.591682166381836,385.84978241991297,346.8750010758891,234.60961033728944,1.0
Llama2-13B,21,1,21,32,32,1664,0.0381255,0.014885591659545897,0.00950525,0.0625163416595459,0.0095285,2.6601821663818357,375.91410567198824,347.36384101193636,227.7765806428351,1.0
Llama2-13B,21,1,21,32,32,1792,0.0392455,0.014885591659545897,0.01005525,0.0641863416595459,0.0095285,2.726982166381836,366.70573512653425,347.8521918338326,221.58731054122939,1.0
Llama2-13B,21,1,21,32,32,1920,0.040328,0.014885591659545897,0.010605249999999998,0.06581884165954589,0.0095285,2.7922821663818356,358.12999561422305,348.3401468862281,215.94186848233744,1.0
Llama2-13B,21,1,21,32,32,2048,0.041443,0.014885591659545897,0.01115525,0.0674838416595459,0.0095285,2.8588821663818362,349.7870642446194,348.82845191747424,210.4266413613122,1.0
Llama2-13B,21,1,21,32,32,2176,0.0439635,0.014885591659545897,0.011705249999999999,0.0705543416595459,0.0095285,2.9817021663818357,335.37890245203664,350.5478550512554,199.34027946549716,1.0
Llama2-13B,21,1,21,32,32,2304,0.0450835,0.014885591659545897,0.01225525,0.07222434165954589,0.0095285,3.0485021663818355,328.02994566569924,351.03620587315174,194.65891394476452,1.0
Llama2-13B,21,1,21,32,32,2432,0.046166,0.014885591659545897,0.012805249999999999,0.0738568416595459,0.0095285,3.1138021663818356,321.150781766581,351.52416092554705,190.35879268593078,1.0
Llama2-13B,21,1,21,32,32,2560,0.047281,0.014885591659545897,0.01335525,0.0755218416595459,0.0095285,3.180402166381836,314.4256442063878,352.01246595679333,186.127866350539,1.0
Llama2-13B,21,1,21,32,32,2688,0.0484435,0.014885591659545897,0.01390525,0.07723434165954589,0.0095285,3.2489021663818356,307.7962797241314,352.5013058928405,181.9136240635176,1.0
Llama2-13B,21,1,21,32,32,2816,0.0495635,0.014885591659545897,0.014455250000000001,0.0789043416595459,0.0095285,3.3157021663818362,301.595242823399,352.9896567147369,178.0491978546395,1.0
Llama2-13B,21,1,21,32,32,2944,0.050646,0.014885591659545897,0.01500525,0.08053684165954589,0.0095285,3.3810021663818355,295.7702925905385,353.4776117671325,174.4844665754119,1.0
Llama2-13B,21,1,21,32,32,3072,0.051761,0.014885591659545897,0.015555250000000001,0.0822018416595459,0.0095285,3.447602166381836,290.05666887878556,353.9659167983786,170.9616877564086,1.0
Llama2-13B,21,1,21,32,32,3200,0.0542815,0.014885591659545897,0.01610525,0.0852723416595459,0.0095285,3.570422166381836,280.078924396039,355.68531993215953,163.8151671988429,1.0
Llama2-13B,21,1,21,32,32,3328,0.0554015,0.014885591659545897,0.01665525,0.0869423416595459,0.0095285,3.637222166381836,274.935088992587,356.1736707540558,160.7238390449969,1.0
Llama2-13B,21,1,21,32,32,3456,0.056484,0.014885591659545897,0.017205250000000002,0.0885748416595459,0.0095285,3.702522166381836,270.08616155760006,356.6616258064512,157.85958227394102,1.0
Llama2-13B,21,1,21,32,32,3584,0.057599,0.014885591659545897,0.017755250000000004,0.09023984165954589,0.0095285,3.7691221663818357,265.3137669347419,357.14993083769747,155.0156820594531,1.0
Llama2-13B,21,1,21,32,32,3712,0.0587615,0.014885591659545897,0.018305250000000002,0.09195234165954591,0.0095285,3.8376221663818364,260.57802374609844,357.63877077374474,152.15692705842463,1.0
Llama2-13B,21,1,21,32,32,3840,0.0598815,0.014885591659545897,0.018855250000000004,0.0936223416595459,0.0095285,3.904422166381836,256.1198449825121,358.1271215956409,149.51492597698828,1.0
Llama2-13B,21,1,21,32,32,3968,0.060964,0.014885591659545897,0.019405250000000002,0.0952548416595459,0.0095285,3.969722166381836,251.90679802950547,358.61507664803645,147.06018168428767,1.0
Llama2-13B,21,1,21,32,32,4096,0.062079,0.014885591659545897,0.01995525,0.0969198416595459,0.0095285,4.0363221663818365,247.75029315769436,359.1033816792827,144.61548256225242,1.0
