Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-7B,2,1,2,32,32,128,0.03595,0.009580778274536132,0.00233,0.04786077827453614,0.0332945,1.7148394047851563,583.1449855943129,70.41190616209398,61.20645528693843,1.0
Llama2-7B,2,1,2,32,32,256,0.036806,0.009580778274536132,0.00277,0.049156778274536135,0.0332945,1.7563114047851562,569.3751104020911,70.6475805343855,59.98307046947635,1.0
Llama2-7B,2,1,2,32,32,384,0.0376675,0.009580778274536132,0.00321,0.05045827827453613,0.0332945,1.7979594047851561,556.1860837005345,70.8833082435291,58.80675337121618,1.0
Llama2-7B,2,1,2,32,32,512,0.0385185,0.009580778274536132,0.00365,0.051749278274536126,0.0332945,1.839271404785156,543.6935502821071,71.1189416309006,57.6986883177082,1.0
Llama2-7B,2,1,2,32,32,640,0.039374,0.009580778274536132,0.00409,0.05304477827453613,0.0332945,1.880727404785156,531.7091660682397,71.35464169446008,56.632106287191505,1.0
Llama2-7B,2,1,2,32,32,768,0.04023,0.009580778274536132,0.00453,0.05434077827453613,0.0332945,1.922199404785156,520.2373892690753,71.5903160667516,55.610175915634805,1.0
Llama2-7B,2,1,2,32,32,896,0.0410915,0.009580778274536132,0.0049700000000000005,0.05564227827453613,0.0332945,1.9638474047851562,509.20453267569405,71.82604377589527,54.62355640452956,1.0
Llama2-7B,2,1,2,32,32,1024,0.0419425,0.009580778274536132,0.00541,0.056933278274536134,0.0332945,2.0051594047851564,498.71346767422983,72.06167716326667,53.690824613508596,1.0
Llama2-7B,2,1,2,32,32,1152,0.045368,0.009580778274536132,0.00585,0.060798778274536135,0.0332945,2.1288554047851562,469.7359894675044,74.06672344599747,51.01801066142259,1.0
Llama2-7B,2,1,2,32,32,1280,0.046224,0.009580778274536132,0.0062900000000000005,0.06209477827453613,0.0332945,2.170327404785156,460.75997464492764,74.30239781828898,50.23256169568905,1.0
Llama2-7B,2,1,2,32,32,1408,0.0470855,0.009580778274536132,0.006730000000000001,0.06339627827453613,0.0332945,2.211975404785156,452.08459272951444,74.53812552743258,49.46993071608603,1.0
Llama2-7B,2,1,2,32,32,1536,0.0479365,0.009580778274536132,0.00717,0.06468727827453613,0.0332945,2.253287404785156,443.79602791741826,74.77375891480409,48.7453186212516,1.0
Llama2-7B,2,1,2,32,32,1664,0.048792,0.009580778274536132,0.0076100000000000004,0.06598277827453614,0.0332945,2.294743404785156,435.77857023784514,75.00945897836357,48.04159684115965,1.0
Llama2-7B,2,1,2,32,32,1792,0.049648,0.009580778274536132,0.008050000000000002,0.06727877827453613,0.0332945,2.3362154047851558,428.04272155373553,75.24513335065508,47.36163424927435,1.0
Llama2-7B,2,1,2,32,32,1920,0.0505095,0.009580778274536132,0.008490000000000001,0.06858027827453612,0.0332945,2.3778634047851557,420.5456032451754,75.48086105979871,46.69966853995209,1.0
Llama2-7B,2,1,2,32,32,2048,0.0513605,0.009580778274536132,0.00893,0.06987127827453612,0.0332945,2.4191754047851557,413.3639908962322,75.71649444717019,46.0692643466101,1.0
Llama2-7B,2,1,2,32,32,2176,0.05475,0.009580778274536132,0.00937,0.07370077827453614,0.0332945,2.541719404785156,393.4344594125357,77.65985112320925,44.326399042927676,1.0
Llama2-7B,2,1,2,32,32,2304,0.055606,0.009580778274536132,0.00981,0.07499677827453613,0.0332945,2.583191404785156,387.1180424909977,77.89552549550076,43.77648404370751,1.0
Llama2-7B,2,1,2,32,32,2432,0.0564675,0.009580778274536132,0.010249999999999999,0.07629827827453613,0.0332945,2.6248394047851558,380.9756887133636,78.1312532046444,43.23906074547553,1.0
Llama2-7B,2,1,2,32,32,2560,0.0573185,0.009580778274536132,0.010689999999999998,0.07758927827453613,0.0332945,2.6661514047851558,375.07247270549595,78.36688659201587,42.72556340449413,1.0
Llama2-7B,2,1,2,32,32,2688,0.058174,0.009580778274536132,0.011130000000000001,0.07888477827453613,0.0332945,2.707607404785156,369.3297625913932,78.60258665557538,42.223860023150046,1.0
Llama2-7B,2,1,2,32,32,2816,0.05903,0.009580778274536132,0.01157,0.08018077827453612,0.0332945,2.7490794047851557,363.758135999768,78.83826102786689,41.73633164697343,1.0
Llama2-7B,2,1,2,32,32,2944,0.0598915,0.009580778274536132,0.01201,0.08148227827453614,0.0332945,2.790727404785156,358.32951591235224,79.07398873701055,41.25897912110365,1.0
Llama2-7B,2,1,2,32,32,3072,0.0607425,0.009580778274536132,0.01245,0.08277327827453614,0.0332945,2.832039404785156,353.1024315234985,79.30962212438196,40.80216802711341,1.0
Llama2-7B,2,1,2,32,32,3200,0.064132,0.009580778274536132,0.012889999999999999,0.08660277827453612,0.0332945,2.9545834047851556,338.457191081636,81.25297880042105,39.59264622206012,1.0
Llama2-7B,2,1,2,32,32,3328,0.064988,0.009580778274536132,0.013329999999999998,0.08789877827453613,0.0332945,2.9960554047851558,333.7721987393317,81.48865317271263,39.184471158479546,1.0
Llama2-7B,2,1,2,32,32,3456,0.0658495,0.009580778274536132,0.013770000000000001,0.08920027827453614,0.0332945,3.037703404785156,329.1960625335395,81.72438088185622,38.78369467585944,1.0
Llama2-7B,2,1,2,32,32,3584,0.0667005,0.009580778274536132,0.01421,0.09049127827453612,0.0332945,3.0790154047851557,324.7791480503414,81.9600142692277,38.3992690596527,1.0
Llama2-7B,2,1,2,32,32,3712,0.067556,0.009580778274536132,0.01465,0.09178677827453613,0.0332945,3.120471404785156,320.4644011371256,82.19571433278719,38.02202724997926,1.0
Llama2-7B,2,1,2,32,32,3840,0.068412,0.009580778274536132,0.01509,0.09308277827453612,0.0332945,3.1619434047851556,316.26119508864105,82.43138870507872,37.6539334770758,1.0
Llama2-7B,2,1,2,32,32,3968,0.0692735,0.009580778274536132,0.015529999999999999,0.09438427827453613,0.0332945,3.203591404785156,312.14967005664806,82.66711641422235,37.29200037452199,1.0
Llama2-7B,2,1,2,32,32,4096,0.0701245,0.009580778274536132,0.015969999999999998,0.09567527827453613,0.0332945,3.244903404785156,308.17558344736295,82.9027498015938,36.94444782208509,1.0
