Model,N_L,N_T,n_instances,TP_per_instance,Tput_L,Tput_T,system_tput,TTFT_L_s,req_lat_T_packed_s,req_lat_T_cent_s,packing_gain_pct,cpb_ceil,cpb_floor,idle_T,kv_slack_L,kv_slack_T,C_max_4096_T,C_need_T,saturated,alpha_req,alpha_tok,lambda_tok_s,load_L,load_T,lambda_max,headroom_ratio,ttft_bar_s,meets_load,meets_kv,unsaturated,in_eps_band,selectable,is_best
Llama2-7B,10,22,2,5,1096.2,6239.1,7335.4,0.45,9.019,10.832,16.9,16,32,6,33.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,True,True,False
Llama2-7B,10,22,1,10,596.0,6239.1,6835.1,0.406,9.019,10.832,16.9,16,32,6,73.725,3.812,122.0,32,True,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,False,True,False,False
Llama2-7B,11,21,11,1,3689.4,6239.1,9928.5,0.782,9.321,10.832,14.1,16,32,5,1.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,11,21,1,11,611.3,6239.1,6850.4,0.393,9.321,10.832,14.1,16,32,5,81.725,3.812,122.0,32,True,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,False,True,False,False
Llama2-7B,12,20,12,1,4024.8,6239.1,10263.9,0.782,9.624,10.832,11.3,16,32,4,1.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,12,20,6,2,2706.9,6239.1,8946.0,0.562,9.624,10.832,11.3,16,32,4,9.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,12,20,4,3,1979.8,6239.1,8218.9,0.507,9.624,10.832,11.3,16,32,4,17.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,12,20,3,4,1618.8,6239.1,7857.9,0.458,9.624,10.832,11.3,16,32,4,25.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,True,True,False
Llama2-7B,12,20,2,6,1110.1,6239.1,7349.3,0.445,9.624,10.832,11.3,16,32,4,41.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,True,True,False
Llama2-7B,12,20,1,12,607.8,6239.1,6846.9,0.396,9.624,10.832,11.3,16,32,4,89.725,3.812,122.0,32,True,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,False,True,False,False
Llama2-7B,13,19,13,1,4360.2,6239.1,10599.3,0.782,9.926,10.832,8.5,16,32,3,1.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,13,19,1,13,604.8,6239.1,6843.9,0.398,9.926,10.832,8.5,16,32,3,97.725,3.812,122.0,32,True,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,False,True,False,False
Llama2-7B,14,18,14,1,4695.6,6239.1,10934.7,0.782,10.228,10.832,5.6,16,32,2,1.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
