Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-7B,14,32,1,32,10,128,0.1737535,0.0008207499313354493,0.00699,0.18156424993133546,0.192457,6.152512997802735,5201.126760955767,64.68687903886142,372.29108500756183,0.7857142857142857
Llama2-7B,14,32,1,32,10,256,0.1781625,0.0008207499313354493,0.00831,0.18729324993133548,0.192457,6.335840997802736,5050.631796330996,65.29356115653714,366.4831889793705,0.7857142857142857
Llama2-7B,14,32,1,32,10,384,0.1825785,0.0008207499313354493,0.00963,0.19302924993133547,0.192457,6.519392997802735,4908.432427801963,65.96396269130382,361.2909663038298,0.7857142857142857
Llama2-7B,14,32,1,32,10,512,0.1869945,0.0008207499313354493,0.01095,0.19876524993133546,0.192457,6.702944997802735,4774.02097294395,66.60251629956453,356.1736644637382,0.7857142857142857
Llama2-7B,14,32,1,32,10,640,0.1896215,0.0008207499313354493,0.01227,0.20271224993133546,0.192457,6.829248997802735,4685.727524402139,66.83476946095611,352.4640901003106,0.7857142857142857
Llama2-7B,14,32,1,32,10,768,0.1940255,0.0008207499313354493,0.013590000000000001,0.20843624993133544,0.192457,7.012416997802735,4563.333870479587,67.50571741853368,347.9218835592936,0.7857142857142857
Llama2-7B,14,32,1,32,10,896,0.1984345,0.0008207499313354493,0.014910000000000001,0.21416524993133548,0.192457,7.195744997802736,4447.072542144197,68.11137814530314,343.24363024223675,0.7857142857142857
Llama2-7B,14,32,1,32,10,1024,0.2028505,0.0008207499313354493,0.01623,0.21990124993133545,0.192457,7.379296997802735,4336.456441518528,68.78280281646981,339.08125844634264,0.7857142857142857
Llama2-7B,14,32,1,32,10,1152,0.209917,0.0008207499313354493,0.01755,0.22828774993133547,0.192457,7.647664997802735,4184.283700867386,70.05819089922169,333.74234054041216,0.7857142857142857
Llama2-7B,14,32,1,32,10,1280,0.212544,0.0008207499313354493,0.01887,0.23223474993133547,0.192457,7.7739689978027355,4116.3014682776075,70.28927405338199,330.70457906777887,0.7857142857142857
Llama2-7B,14,32,1,32,10,1408,0.216948,0.0008207499313354493,0.020190000000000003,0.23795874993133548,0.192457,7.957136997802736,4021.5469469529558,70.96139201819085,327.0894039963073,0.7857142857142857
Llama2-7B,14,32,1,32,10,1536,0.221357,0.0008207499313354493,0.02151,0.24368774993133546,0.192457,8.140464997802734,3930.9793738610024,71.56588273772908,323.305261354866,0.7857142857142857
Llama2-7B,14,32,1,32,10,1664,0.225773,0.0008207499313354493,0.022830000000000003,0.24942374993133548,0.192457,8.324016997802735,3844.297772150987,72.23847741612701,319.9606570144659,0.7857142857142857
Llama2-7B,14,32,1,32,10,1792,0.230189,0.0008207499313354493,0.024150000000000005,0.2551597499313355,0.192457,8.507568997802736,3761.356505984811,72.87703102438772,316.5964968977132,0.7857142857142857
Llama2-7B,14,32,1,32,10,1920,0.232816,0.0008207499313354493,0.025470000000000003,0.2591067499313355,0.192457,8.633872997802735,3706.332025979974,73.10709104214806,314.0123146267784,0.7857142857142857
