Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-70B,4,1,4,32,32,128,0.0756395,0.02129309097290039,0.003287,0.10021959097290038,0.0339355,8.201502777832031,121.9288741452256,731.0200577078277,120.80659868650439,1.0
Llama2-70B,4,1,4,32,32,256,0.0777345,0.02129309097290039,0.0041670000000000006,0.10319459097290039,0.0339355,8.43950277783203,118.49039289692413,733.8382824285663,118.00395616305605,1.0
Llama2-70B,4,1,4,32,32,384,0.0798785,0.02129309097290039,0.005046999999999999,0.10621859097290039,0.0339355,8.681422777832031,115.18849220815451,736.6576115663969,115.27783001157961,1.0
Llama2-70B,4,1,4,32,32,512,0.0820225,0.02129309097290039,0.005927,0.10924259097290039,0.0339355,8.923342777832032,112.06562662641038,739.4769407042276,112.69422120519177,1.0
Llama2-70B,4,1,4,32,32,640,0.0841515,0.02129309097290039,0.006806999999999999,0.11225159097290038,0.0339355,9.164062777832031,109.12190632510844,742.2958976729071,110.26183396506703,1.0
Llama2-70B,4,1,4,32,32,768,0.0862465,0.02129309097290039,0.007686999999999999,0.11522659097290039,0.0339355,9.402062777832032,106.35963869096652,745.1141223936457,107.99193625156462,1.0
Llama2-70B,4,1,4,32,32,896,0.0883905,0.02129309097290039,0.008567,0.11825059097290039,0.0339355,9.643982777832031,103.69159952241228,747.9334515314762,105.7711874482377,1.0
Llama2-70B,4,1,4,32,32,1024,0.0905345,0.02129309097290039,0.009446999999999999,0.12127459097290039,0.0339355,9.885902777832031,101.15414064584793,750.7527806693067,103.65562032558124,1.0
Llama2-70B,4,1,4,32,32,1152,0.097842,0.02129309097290039,0.010327,0.12946209097290037,0.0339355,10.54090277783203,94.86853461005663,762.723816867293,97.44330360010186,1.0
Llama2-70B,4,1,4,32,32,1280,0.099937,0.02129309097290039,0.011207,0.13243709097290038,0.0339355,10.77890277783203,92.77382128880569,765.5420415880315,95.75307963867628,1.0
Llama2-70B,4,1,4,32,32,1408,0.102081,0.02129309097290039,0.012087,0.13546109097290038,0.0339355,11.02082277783203,90.73732698174426,768.3613707258618,94.08721636811232,1.0
Llama2-70B,4,1,4,32,32,1536,0.104225,0.02129309097290039,0.012967,0.1384850909729004,0.0339355,11.262742777832033,88.78831912669234,771.1806998636921,92.48988964544162,1.0
Llama2-70B,4,1,4,32,32,1664,0.106354,0.02129309097290039,0.013847,0.1414940909729004,0.0339355,11.50346277783203,86.93034604563326,773.999656832372,90.9697398349348,1.0
