Model,N_L,N_T,n_instances,TP_per_instance,Tput_L,TTFT_L_s,TTFT_L_no_prefill_sampling_s,req_lat_L_s,Tput_T,Tput_T_cent,req_lat_T_packed_s,req_lat_T_cent_s,ttft_T_packed_s,system_tput,idle_T,cpb_ceil,cpb_floor,n_ceil,n_floor,hetero_T,packing_gain_pct,KV_free_per_block_MiB,KV_free_per_L_device_GiB,C_max_4096_T,C_max_mean_T,C_need_T,kv_slack_T,C_max_4096_L,C_need_L,kv_slack_L,kv_feasible,saturated,valid,invalid_reason,cap_floor,TP_sat,min_cpb,prompt_fraction
Llama2-13B,6,26,1,6,357.4,0.678,0.63,5.91,4402.4,4402.4,16.553,19.189,2.043,4759.8,6,16,32,14,12,True,13.8,7587.0,11.96,94.8,183.9,40,2.371,23.0,1.0,22.962,True,False,True,,2,10,8,0.125
Llama2-13B,7,25,1,7,362.7,0.667,0.619,5.824,4402.4,4402.4,16.993,19.189,2.096,4765.1,5,16,32,15,10,True,11.5,7587.0,12.54,94.8,183.9,40,2.371,28.1,1.0,28.082,True,False,True,,2,10,8,0.125
Llama2-13B,8,24,4,2,1078.5,0.946,0.898,7.833,4402.4,4402.4,17.432,19.189,2.149,5480.9,4,16,32,16,8,True,9.2,7587.0,3.88,94.8,183.9,40,2.371,9.9,4.0,2.482,True,False,True,,2,10,8,0.125
Llama2-13B,8,24,2,4,654.3,0.755,0.707,6.455,4402.4,4402.4,17.432,19.189,2.149,5056.8,4,16,32,16,8,True,9.2,7587.0,9.94,94.8,183.9,40,2.371,25.4,2.0,12.722,True,False,True,,2,10,8,0.125
Llama2-13B,8,24,1,8,362.6,0.667,0.619,5.825,4402.4,4402.4,17.432,19.189,2.149,4765.0,4,16,32,16,8,True,9.2,7587.0,12.97,94.8,183.9,40,2.371,33.2,1.0,33.202,True,False,True,,2,10,8,0.125
Llama2-13B,9,23,3,3,906.9,0.83,0.782,6.986,4402.4,4402.4,17.871,19.189,2.202,5309.4,3,16,32,17,6,True,6.9,7587.0,7.92,94.8,183.9,40,2.371,22.8,3.0,7.602,True,False,True,,2,10,8,0.125
Llama2-13B,9,23,1,9,369.3,0.651,0.603,5.72,4402.4,4402.4,17.871,19.189,2.202,4771.7,3,16,32,17,6,True,6.9,7587.0,13.31,94.8,183.9,40,2.371,38.3,1.0,38.322,True,False,True,,2,10,8,0.125
Llama2-13B,10,22,5,2,1348.1,0.946,0.898,7.833,4402.4,4402.4,18.311,19.189,2.256,5750.5,2,16,32,18,4,True,4.6,7587.0,3.88,94.8,183.9,40,2.371,12.4,5.0,2.482,True,False,True,,2,10,8,0.125
Llama2-13B,10,22,2,5,702.1,0.692,0.644,6.016,4402.4,4402.4,18.311,19.189,2.256,5104.5,2,16,32,18,4,True,4.6,7587.0,11.15,94.8,183.9,40,2.371,35.7,2.0,17.842,True,False,True,,2,10,8,0.125
Llama2-13B,10,22,1,10,389.0,0.607,0.559,5.43,4402.4,4402.4,18.311,19.189,2.256,4791.4,2,16,32,18,4,True,4.6,7587.0,13.58,94.8,183.9,40,2.371,43.4,1.0,43.442,True,False,True,,2,10,8,0.125
Llama2-13B,11,21,1,11,390.4,0.604,0.556,5.409,4402.4,4402.4,18.75,19.189,2.309,4792.9,1,16,32,19,2,True,2.3,7587.0,13.8,94.8,183.9,40,2.371,48.6,1.0,48.562,True,True,True,,2,10,8,0.125
Llama2-13B,12,20,6,2,1617.7,0.946,0.898,7.833,4402.4,4402.4,19.189,19.189,2.362,6020.1,0,16,16,20,0,False,0.0,7587.0,3.88,94.8,183.9,40,2.371,14.9,6.0,2.482,True,False,True,,2,10,8,0.125
Llama2-13B,12,20,4,3,1209.3,0.83,0.782,6.986,4402.4,4402.4,19.189,19.189,2.362,5611.7,0,16,16,20,0,False,0.0,7587.0,7.92,94.8,183.9,40,2.371,30.4,4.0,7.602,True,False,True,,2,10,8,0.125
Llama2-13B,12,20,3,4,981.5,0.755,0.707,6.455,4402.4,4402.4,19.189,19.189,2.362,5383.9,0,16,16,20,0,False,0.0,7587.0,9.94,94.8,183.9,40,2.371,38.2,3.0,12.722,True,False,True,,2,10,8,0.125
Llama2-13B,12,20,2,6,714.8,0.678,0.63,5.91,4402.4,4402.4,19.189,19.189,2.362,5117.2,0,16,16,20,0,False,0.0,7587.0,11.96,94.8,183.9,40,2.371,45.9,2.0,22.962,True,False,True,,2,10,8,0.125
Llama2-13B,12,20,1,12,388.9,0.608,0.56,5.431,4402.4,4402.4,19.189,19.189,2.362,4791.3,0,16,16,20,0,False,0.0,7587.0,13.98,94.8,183.9,40,2.371,53.7,1.0,53.682,True,True,True,,2,10,8,0.125
Llama2-13B,13,19,1,13,385.7,0.615,0.567,5.476,2853.6,2853.6,20.909,29.605,2.581,3239.3,5,10,16,2,17,True,29.3,4515.0,14.14,56.4,109.5,40,1.411,58.8,1.0,58.802,True,True,True,,2,10,8,0.125
Llama2-13B,14,18,7,2,1887.3,0.946,0.898,7.833,2853.6,2853.6,22.444,29.605,2.772,4740.9,4,10,16,4,14,True,24.1,4515.0,3.88,56.4,109.5,40,1.411,17.4,7.0,2.482,True,False,True,,2,10,8,0.125
Llama2-13B,14,18,2,7,725.3,0.667,0.619,5.824,2853.6,2853.6,22.444,29.605,2.772,3578.9,4,10,16,4,14,True,24.1,4515.0,12.54,56.4,109.5,40,1.411,56.2,2.0,28.082,True,False,True,,2,10,8,0.125
Llama2-13B,14,18,1,14,396.7,0.591,0.543,5.324,2853.6,2853.6,22.444,29.605,2.772,3250.3,4,10,16,4,14,True,24.1,4515.0,14.27,56.4,109.5,40,1.411,63.9,1.0,63.922,True,True,True,,2,10,8,0.125
Llama2-13B,15,17,5,3,1511.6,0.83,0.782,6.986,2853.6,2853.6,23.978,29.605,2.963,4365.2,3,10,16,6,11,True,19.0,4515.0,7.92,56.4,109.5,40,1.411,38.0,5.0,7.602,True,False,True,,2,10,8,0.125
Llama2-13B,15,17,3,5,1053.1,0.692,0.644,6.016,2853.6,2853.6,23.978,29.605,2.963,3906.7,3,10,16,6,11,True,19.0,4515.0,11.15,56.4,109.5,40,1.411,53.5,3.0,17.842,True,False,True,,2,10,8,0.125
Llama2-13B,15,17,1,15,395.1,0.595,0.547,5.346,2853.6,2853.6,23.978,29.605,2.963,3248.7,3,10,16,6,11,True,19.0,4515.0,14.38,56.4,109.5,40,1.411,69.0,1.0,69.042,True,True,True,,2,10,8,0.125
Llama2-13B,16,16,8,2,2156.9,0.946,0.898,7.833,2853.6,2853.6,25.513,29.605,3.153,5010.5,2,10,16,8,8,True,13.8,4515.0,3.88,56.4,109.5,40,1.411,19.9,8.0,2.482,True,False,True,,2,10,8,0.125
Llama2-13B,16,16,4,4,1308.7,0.755,0.707,6.455,2853.6,2853.6,25.513,29.605,3.153,4162.3,2,10,16,8,8,True,13.8,4515.0,9.94,56.4,109.5,40,1.411,50.9,4.0,12.722,True,False,True,,2,10,8,0.125
Llama2-13B,16,16,2,8,725.1,0.667,0.619,5.825,2853.6,2853.6,25.513,29.605,3.153,3578.7,2,10,16,8,8,True,13.8,4515.0,12.97,56.4,109.5,40,1.411,66.4,2.0,33.202,True,False,True,,2,10,8,0.125
Llama2-13B,16,16,1,16,393.8,0.597,0.549,5.363,2853.6,2853.6,25.513,29.605,3.153,3247.4,2,10,16,8,8,True,13.8,4515.0,14.48,56.4,109.5,40,1.411,74.2,1.0,74.162,True,True,True,,2,10,8,0.125
Llama2-13B,17,15,1,17,391.1,0.603,0.555,5.4,2853.6,2853.6,27.047,29.605,3.344,3244.7,1,10,16,10,5,True,8.6,4515.0,14.57,56.4,109.5,40,1.411,79.3,1.0,79.282,True,True,True,,2,10,8,0.125
Llama2-13B,18,14,9,2,2426.5,0.946,0.898,7.833,2853.6,2853.6,28.582,29.605,3.535,5280.1,0,10,16,12,2,True,3.4,4515.0,3.88,56.4,109.5,40,1.411,22.3,9.0,2.482,True,False,True,,2,10,8,0.125
Llama2-13B,18,14,6,3,1813.9,0.83,0.782,6.986,2853.6,2853.6,28.582,29.605,3.535,4667.5,0,10,16,12,2,True,3.4,4515.0,7.92,56.4,109.5,40,1.411,45.6,6.0,7.602,True,False,True,,2,10,8,0.125
Llama2-13B,18,14,3,6,1072.2,0.678,0.63,5.91,2853.6,2853.6,28.582,29.605,3.535,3925.8,0,10,16,12,2,True,3.4,4515.0,11.96,56.4,109.5,40,1.411,68.9,3.0,22.962,True,False,True,,2,10,8,0.125
Llama2-13B,18,14,2,9,738.5,0.651,0.603,5.72,2853.6,2853.6,28.582,29.605,3.535,3592.1,0,10,16,12,2,True,3.4,4515.0,13.31,56.4,109.5,40,1.411,76.6,2.0,38.322,True,False,True,,2,10,8,0.125
Llama2-13B,18,14,1,18,397.9,0.589,0.541,5.308,2853.6,2853.6,28.582,29.605,3.535,3251.5,0,10,16,12,2,True,3.4,4515.0,14.65,56.4,109.5,40,1.411,84.4,1.0,84.402,True,True,True,,2,10,8,0.125
Llama2-13B,19,13,1,19,395.7,0.593,0.545,5.337,2269.2,2269.2,30.48,37.229,3.769,2664.9,3,8,10,1,12,True,18.4,3491.0,14.72,43.6,84.6,40,1.091,89.5,1.0,89.522,True,True,True,,2,10,8,0.125
Llama2-13B,20,12,10,2,2696.2,0.946,0.898,7.833,2269.2,2269.2,32.73,37.229,4.034,4965.3,2,8,10,4,8,True,12.3,3491.0,3.88,43.6,84.6,40,1.091,24.8,10.0,2.482,True,False,True,,2,10,8,0.125
Llama2-13B,20,12,5,4,1635.8,0.755,0.707,6.455,2269.2,2269.2,32.73,37.229,4.034,3905.0,2,8,10,4,8,True,12.3,3491.0,9.94,43.6,84.6,40,1.091,63.6,5.0,12.722,True,False,True,,2,10,8,0.125
Llama2-13B,20,12,4,5,1404.2,0.692,0.644,6.016,2269.2,2269.2,32.73,37.229,4.034,3673.4,2,8,10,4,8,True,12.3,3491.0,11.15,43.6,84.6,40,1.091,71.4,4.0,17.842,True,False,True,,2,10,8,0.125
Llama2-13B,20,12,2,10,778.0,0.607,0.559,5.43,2269.2,2269.2,32.73,37.229,4.034,3047.2,2,8,10,4,8,True,12.3,3491.0,13.58,43.6,84.6,40,1.091,86.9,2.0,43.442,True,False,True,,2,10,8,0.125
Llama2-13B,20,12,1,20,393.6,0.598,0.55,5.366,2269.2,2269.2,32.73,37.229,4.034,2662.8,2,8,10,4,8,True,12.3,3491.0,14.79,43.6,84.6,40,1.091,94.6,1.0,94.642,True,True,True,,2,10,8,0.125
Llama2-13B,21,11,7,3,2116.2,0.83,0.782,6.986,2269.2,2269.2,34.979,37.229,4.299,4385.4,1,8,10,7,4,True,6.1,3491.0,7.92,43.6,84.6,40,1.091,53.2,7.0,7.602,True,False,True,,2,10,8,0.125
Llama2-13B,21,11,3,7,1088.0,0.667,0.619,5.824,2269.2,2269.2,34.979,37.229,4.299,3357.2,1,8,10,7,4,True,6.1,3491.0,12.54,43.6,84.6,40,1.091,84.2,3.0,28.082,True,False,True,,2,10,8,0.125
Llama2-13B,21,11,1,21,393.4,0.598,0.55,5.368,2269.2,2269.2,34.979,37.229,4.299,2662.6,1,8,10,7,4,True,6.1,3491.0,14.85,43.6,84.6,40,1.091,99.8,1.0,99.762,True,True,True,,2,10,8,0.125
Llama2-13B,22,10,11,2,2965.8,0.946,0.898,7.833,2269.2,2269.2,37.229,37.229,4.564,5235.0,0,8,8,10,0,False,0.0,3491.0,3.88,43.6,84.6,40,1.091,27.3,11.0,2.482,True,False,True,,2,10,8,0.125
Llama2-13B,22,10,2,11,780.9,0.604,0.556,5.409,2269.2,2269.2,37.229,37.229,4.564,3050.1,0,8,8,10,0,False,0.0,3491.0,13.8,43.6,84.6,40,1.091,97.1,2.0,48.562,True,True,True,,2,10,8,0.125
Llama2-13B,22,10,1,22,391.4,0.602,0.554,5.396,2269.2,2269.2,37.229,37.229,4.564,2660.6,0,8,8,10,0,False,0.0,3491.0,14.9,43.6,84.6,40,1.091,104.9,1.0,104.882,True,True,True,,2,10,8,0.125
Llama2-70B,0,23,0,0,0.0,,,,1010.9,1010.9,152.751,167.145,20.11,1010.9,3,8,10,11,12,True,8.7,2464.0,,154.0,298.7,80,1.925,,,,True,False,True,,9,16,6,0.125
Llama2-70B,9,23,1,9,107.4,2.143,2.095,19.67,1010.9,1010.9,152.751,167.145,20.11,1118.2,3,8,10,11,12,True,8.7,2464.0,1.72,154.0,298.7,80,1.925,12.4,1.0,12.419,True,False,True,,9,16,6,0.125
Llama2-70B,10,22,1,10,109.1,2.096,2.048,19.36,1010.9,1010.9,157.549,167.145,20.727,1120.0,2,8,10,14,8,True,5.8,2464.0,3.15,154.0,298.7,80,1.925,25.2,1.0,25.219,True,False,True,,9,16,6,0.125
Llama2-70B,11,21,1,11,109.0,2.098,2.05,19.37,1010.9,1010.9,162.347,167.145,21.344,1119.9,1,8,10,17,4,True,2.9,2464.0,4.32,154.0,298.7,80,1.925,38.0,1.0,38.019,True,False,True,,9,16,6,0.125
Llama2-70B,12,20,1,12,110.3,2.063,2.015,19.14,1010.9,1010.9,167.145,167.145,21.96,1121.2,0,8,8,20,0,False,0.0,2464.0,5.29,154.0,298.7,80,1.925,50.8,1.0,50.819,True,False,True,,9,16,6,0.125
Llama2-70B,13,19,1,13,110.6,2.056,2.008,19.091,756.2,756.2,181.471,223.435,23.858,866.8,3,6,8,4,15,True,18.8,1440.0,6.12,90.0,174.5,80,1.125,63.6,1.0,63.619,True,False,True,,9,16,6,0.125
Llama2-70B,14,18,1,14,111.8,2.025,1.977,18.886,756.2,756.2,195.459,223.435,25.704,868.0,2,6,8,8,10,True,12.5,1440.0,6.82,90.0,174.5,80,1.125,76.4,1.0,76.419,True,False,True,,9,16,6,0.125
Llama2-70B,15,17,1,15,112.4,2.009,1.961,18.783,756.2,756.2,209.447,223.435,27.55,868.6,1,6,8,12,5,True,6.3,1440.0,7.43,90.0,174.5,80,1.125,89.2,1.0,89.219,True,False,True,,9,16,6,0.125
Llama2-70B,16,16,1,16,117.3,1.891,1.843,18.003,756.2,756.2,223.435,223.435,29.396,873.5,0,6,6,16,0,False,0.0,1440.0,7.97,90.0,174.5,80,1.125,102.0,1.0,102.019,True,False,True,,9,16,6,0.125
