Model,N_L,N_T,n_instances,TP_per_instance,Tput_L,TTFT_L_s,TTFT_L_no_prefill_sampling_s,req_lat_L_s,Tput_T,Tput_T_cent,req_lat_T_packed_s,req_lat_T_cent_s,ttft_T_packed_s,system_tput,idle_T,cpb_ceil,cpb_floor,n_ceil,n_floor,hetero_T,packing_gain_pct,KV_free_per_block_MiB,KV_free_per_L_device_GiB,C_max_4096_T,C_max_mean_T,C_need_T,kv_slack_T,C_max_4096_L,C_need_L,kv_slack_L,kv_feasible,saturated,valid,invalid_reason,cap_floor,TP_sat,min_cpb,prompt_fraction
Llama2-7B,9,23,3,3,1484.8,0.507,0.459,4.267,6239.1,6239.1,8.717,10.832,1.052,7724.0,7,16,32,9,14,True,19.8,7806.0,11.82,122.0,236.5,32,3.812,53.2,3.0,17.725,True,False,True,,1,8,5,0.125
Llama2-7B,9,23,1,9,600.9,0.402,0.354,3.515,6239.1,6239.1,8.717,10.832,1.052,6840.1,7,16,32,9,14,True,19.8,7806.0,14.61,122.0,236.5,32,3.812,65.7,1.0,65.725,True,True,True,,1,8,5,0.125
Llama2-7B,10,22,10,1,3354.0,0.782,0.734,6.297,6239.1,6239.1,9.019,10.832,1.087,9593.1,6,16,32,10,12,True,16.9,7806.0,3.45,122.0,236.5,32,3.812,17.2,10.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,10,22,5,2,2255.7,0.562,0.514,4.681,6239.1,6239.1,9.019,10.832,1.087,8494.9,6,16,32,10,12,True,16.9,7806.0,9.72,122.0,236.5,32,3.812,48.6,5.0,9.725,True,False,True,,1,8,5,0.125
Llama2-7B,10,22,2,5,1096.2,0.45,0.402,3.853,6239.1,6239.1,9.019,10.832,1.087,7335.4,6,16,32,10,12,True,16.9,7806.0,13.49,122.0,236.5,32,3.812,67.4,2.0,33.725,True,False,True,,1,8,5,0.125
Llama2-7B,10,22,1,10,596.0,0.406,0.358,3.544,6239.1,6239.1,9.019,10.832,1.087,6835.1,6,16,32,10,12,True,16.9,7806.0,14.74,122.0,236.5,32,3.812,73.7,1.0,73.725,True,True,True,,1,8,5,0.125
Llama2-7B,11,21,11,1,3689.4,0.782,0.734,6.297,6239.1,6239.1,9.321,10.832,1.122,9928.5,5,16,32,11,10,True,14.1,7806.0,3.45,122.0,236.5,32,3.812,19.0,11.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,11,21,1,11,611.3,0.393,0.345,3.455,6239.1,6239.1,9.321,10.832,1.122,6850.4,5,16,32,11,10,True,14.1,7806.0,14.86,122.0,236.5,32,3.812,81.7,1.0,81.725,True,True,True,,1,8,5,0.125
Llama2-7B,12,20,12,1,4024.8,0.782,0.734,6.297,6239.1,6239.1,9.624,10.832,1.157,10263.9,4,16,32,12,8,True,11.3,7806.0,3.45,122.0,236.5,32,3.812,20.7,12.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,12,20,6,2,2706.9,0.562,0.514,4.681,6239.1,6239.1,9.624,10.832,1.157,8946.0,4,16,32,12,8,True,11.3,7806.0,9.72,122.0,236.5,32,3.812,58.3,6.0,9.725,True,False,True,,1,8,5,0.125
Llama2-7B,12,20,4,3,1979.8,0.507,0.459,4.267,6239.1,6239.1,9.624,10.832,1.157,8218.9,4,16,32,12,8,True,11.3,7806.0,11.82,122.0,236.5,32,3.812,70.9,4.0,17.725,True,False,True,,1,8,5,0.125
Llama2-7B,12,20,3,4,1618.8,0.458,0.41,3.914,6239.1,6239.1,9.624,10.832,1.157,7857.9,4,16,32,12,8,True,11.3,7806.0,12.86,122.0,236.5,32,3.812,77.2,3.0,25.725,True,False,True,,1,8,5,0.125
Llama2-7B,12,20,2,6,1110.1,0.445,0.397,3.805,6239.1,6239.1,9.624,10.832,1.157,7349.3,4,16,32,12,8,True,11.3,7806.0,13.91,122.0,236.5,32,3.812,83.4,2.0,41.725,True,False,True,,1,8,5,0.125
Llama2-7B,12,20,1,12,607.8,0.396,0.348,3.475,6239.1,6239.1,9.624,10.832,1.157,6846.9,4,16,32,12,8,True,11.3,7806.0,14.95,122.0,236.5,32,3.812,89.7,1.0,89.725,True,True,True,,1,8,5,0.125
Llama2-7B,13,19,13,1,4360.2,0.782,0.734,6.297,6239.1,6239.1,9.926,10.832,1.192,10599.3,3,16,32,13,6,True,8.5,7806.0,3.45,122.0,236.5,32,3.812,22.4,13.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,13,19,1,13,604.8,0.398,0.35,3.492,6239.1,6239.1,9.926,10.832,1.192,6843.9,3,16,32,13,6,True,8.5,7806.0,15.03,122.0,236.5,32,3.812,97.7,1.0,97.725,True,True,True,,1,8,5,0.125
Llama2-7B,14,18,14,1,4695.6,0.782,0.734,6.297,6239.1,6239.1,10.228,10.832,1.227,10934.7,2,16,32,14,4,True,5.6,7806.0,3.45,122.0,236.5,32,3.812,24.1,14.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,14,18,7,2,3158.0,0.562,0.514,4.681,6239.1,6239.1,10.228,10.832,1.227,9397.2,2,16,32,14,4,True,5.6,7806.0,9.72,122.0,236.5,32,3.812,68.1,7.0,9.725,True,False,True,,1,8,5,0.125
Llama2-7B,14,18,2,7,1108.9,0.446,0.398,3.809,6239.1,6239.1,10.228,10.832,1.227,7348.1,2,16,32,14,4,True,5.6,7806.0,14.21,122.0,236.5,32,3.812,99.4,2.0,49.725,True,False,True,,1,8,5,0.125
Llama2-7B,14,18,1,14,599.8,0.403,0.355,3.521,6239.1,6239.1,10.228,10.832,1.227,6838.9,2,16,32,14,4,True,5.6,7806.0,15.1,122.0,236.5,32,3.812,105.7,1.0,105.725,True,True,True,,1,8,5,0.125
Llama2-7B,15,17,15,1,5031.0,0.782,0.734,6.297,6239.1,6239.1,10.53,10.832,1.262,11270.1,1,16,32,15,2,True,2.8,7806.0,3.45,122.0,236.5,32,3.812,25.9,15.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,15,17,5,3,2474.7,0.507,0.459,4.267,6239.1,6239.1,10.53,10.832,1.262,8713.8,1,16,32,15,2,True,2.8,7806.0,11.82,122.0,236.5,32,3.812,88.6,5.0,17.725,True,False,True,,1,8,5,0.125
Llama2-7B,15,17,3,5,1644.4,0.45,0.402,3.853,6239.1,6239.1,10.53,10.832,1.262,7883.5,1,16,32,15,2,True,2.8,7806.0,13.49,122.0,236.5,32,3.812,101.2,3.0,33.725,True,False,True,,1,8,5,0.125
Llama2-7B,15,17,1,15,609.3,0.394,0.346,3.466,6239.1,6239.1,10.53,10.832,1.262,6848.5,1,16,32,15,2,True,2.8,7806.0,15.16,122.0,236.5,32,3.812,113.7,1.0,113.725,True,True,True,,1,8,5,0.125
