Model,trace,t,lam,alpha,alpha_s,action,split,N_L,N_T,j,m,Tput_L,Tput_T,TTFT_L_s,req_lat_T_s,devices_draining,devices_kept,tokens_lost,target,load_L,load_T,served_by_L,served_by_T,spare_T,excess_L,spilled,unmet,eff_ttft_s,served_total,cap_L,cap_T,derate,ledger,ledger_lat,shadow,draining_now,kv_slack_L,kv_slack_T
Llama2-7B,1_steady,1440.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1470.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1500.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1530.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1560.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1590.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1620.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1650.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1680.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1710.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1740.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1770.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1800.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1830.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1860.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1890.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1920.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1950.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1980.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,2010.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,2040.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,2070.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,2100.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,2130.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,2160.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,2190.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,2220.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
