Model,trace,t,lam,alpha,alpha_s,action,split,N_L,N_T,j,m,Tput_L,Tput_T,TTFT_L_s,req_lat_T_s,devices_draining,devices_kept,tokens_lost,target,load_L,load_T,served_by_L,served_by_T,spare_T,excess_L,spilled,unmet,eff_ttft_s,served_total,cap_L,cap_T,derate,ledger,ledger_lat,shadow,draining_now,kv_slack_L,kv_slack_T
Llama2-7B,1_steady,450.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,480.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,510.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,540.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,570.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,600.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,630.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,660.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,690.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,720.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,750.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,780.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,810.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,840.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,870.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,900.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,930.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,960.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,990.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1020.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1050.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1080.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1110.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1140.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1170.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1200.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1230.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1260.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1290.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1320.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1350.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1380.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,1410.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
