Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,20,1,20,32,32,128,0.0232955,0.014840888175964354,0.00290525,0.04104163817596435,0.010106,1.801771527038574,555.0093255406356,324.29956322899847,348.0281204835681,1.0
Llama2-13B,20,1,20,32,32,256,0.0244155,0.014840888175964354,0.00345525,0.04271163817596436,0.010106,1.868571527038574,535.1681675171733,324.78690048215907,332.56220483111036,1.0
Llama2-13B,20,1,20,32,32,384,0.025498,0.014840888175964354,0.00400525,0.04434413817596436,0.010106,1.9338715270385742,517.0974317675309,325.2738419658187,318.9209369027165,1.0
Llama2-13B,20,1,20,32,32,512,0.026613,0.014840888175964354,0.00455525,0.04600913817596436,0.010106,2.0004715270385742,499.8821460260241,325.761133428329,306.01692164386674,1.0
Llama2-13B,20,1,20,32,32,640,0.0277755,0.014840888175964354,0.00510525,0.04772163817596436,0.010106,2.0689715270385745,483.33192938201114,326.2489597956404,293.64814296379944,1.0
Llama2-13B,20,1,20,32,32,768,0.0288955,0.014840888175964354,0.00565525,0.049391638175964356,0.010106,2.135771527038574,468.21487567379626,326.73629704880085,282.6878727213589,1.0
Llama2-13B,20,1,20,32,32,896,0.029978,0.014840888175964354,0.00620525,0.05102413817596436,0.010106,2.2010715270385743,454.3241724386155,327.2232385324605,272.88614861937134,1.0
Llama2-13B,20,1,20,32,32,1024,0.031093,0.014840888175964354,0.00675525,0.05268913817596435,0.010106,2.2676715270385737,440.9809745708333,327.710529994971,263.4922088532557,1.0
Llama2-13B,20,1,20,32,32,1152,0.0336455,0.014840888175964354,0.00730525,0.05579163817596436,0.010106,2.391771527038574,418.10013569238055,329.5100057415575,244.839581624257,1.0
Llama2-13B,20,1,20,32,32,1280,0.0347655,0.014840888175964354,0.007855250000000001,0.05746163817596436,0.010106,2.458571527038574,406.7402509962893,329.997342994718,237.30231335283403,1.0
Llama2-13B,20,1,20,32,32,1408,0.035848,0.014840888175964354,0.00840525,0.05909413817596436,0.010106,2.5238715270385743,396.2166811134663,330.48428447837773,230.47609662908505,1.0
Llama2-13B,20,1,20,32,32,1536,0.036963,0.014840888175964354,0.00895525,0.06075913817596436,0.010106,2.590471527038574,386.03010670539953,330.9715759408881,223.85329649980255,1.0
Llama2-13B,20,1,20,32,32,1664,0.0381255,0.014840888175964354,0.00950525,0.06247163817596436,0.010106,2.6589715270385743,376.08526072249765,331.45940230819946,217.34757728305166,1.0
Llama2-13B,20,1,20,32,32,1792,0.0392455,0.014840888175964354,0.01005525,0.06414163817596436,0.010106,2.725771527038574,366.86860585357067,331.94673956136006,211.45528758797823,1.0
