Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-7B,11,1,11,32,32,128,0.0180205,0.011696743164062499,0.00233,0.032047243164062496,0.0103385,1.1858502812499998,843.2767743208731,115.67615875849172,200.59820544395924,1.0
Llama2-7B,11,1,11,32,32,256,0.0188765,0.011696743164062499,0.00277,0.0333432431640625,0.0103385,1.22732228125,814.7819161088827,115.9176712867015,191.90142387144985,1.0
Llama2-7B,11,1,11,32,32,384,0.019738,0.011696743164062499,0.00321,0.0346447431640625,0.0103385,1.2689702812499999,788.0405197629605,116.15923715176334,183.90800288745592,1.0
Llama2-7B,11,1,11,32,32,512,0.020589,0.011696743164062499,0.00365,0.0359357431640625,0.0103385,1.31028228125,763.1943240856522,116.40070869505298,176.67308498326327,1.0
Llama2-7B,11,1,11,32,32,640,0.0214445,0.011696743164062499,0.00409,0.0372312431640625,0.0103385,1.3517382812499998,739.7881778381425,116.6422469145308,169.97692723444646,1.0
Llama2-7B,11,1,11,32,32,768,0.0223005,0.011696743164062499,0.00453,0.038527243164062495,0.0103385,1.3932102812499998,717.76673877456,116.88375944274047,163.79083350533134,1.0
Llama2-7B,11,1,11,32,32,896,0.023162,0.011696743164062499,0.0049700000000000005,0.0398287431640625,0.0103385,1.43485828125,696.9329396968974,117.12532530780233,158.02462722859954,1.0
Llama2-7B,11,1,11,32,32,1024,0.024013,0.011696743164062499,0.00541,0.0411197431640625,0.0103385,1.47617028125,677.428622362736,117.36679685109203,152.73861664917442,1.0
Llama2-7B,11,1,11,32,32,1152,0.0256305,0.011696743164062499,0.00585,0.0431772431640625,0.0103385,1.5420102812499998,648.504106723186,118.21841375737803,144.13786035848167,1.0
Llama2-7B,11,1,11,32,32,1280,0.0264865,0.011696743164062499,0.0062900000000000005,0.044473243164062495,0.0103385,1.5834822812499998,631.5195388296993,118.45992628558783,139.76451008719988,1.0
Llama2-7B,11,1,11,32,32,1408,0.027348,0.011696743164062499,0.006730000000000001,0.0457747431640625,0.0103385,1.62513028125,615.3352820617132,118.70149215064964,135.63776618794066,1.0
Llama2-7B,11,1,11,32,32,1536,0.028199,0.011696743164062499,0.00717,0.0470657431640625,0.0103385,1.66644228125,600.0807896268085,118.94296369393929,131.81203643517867,1.0
Llama2-7B,11,1,11,32,32,1664,0.0290545,0.011696743164062499,0.0076100000000000004,0.0483612431640625,0.0103385,1.7078982812499999,585.5149636125323,119.18450191341704,128.19066529433596,1.0
Llama2-7B,11,1,11,32,32,1792,0.0299105,0.011696743164062499,0.008050000000000002,0.0496572431640625,0.0103385,1.74937028125,571.6342678952207,119.4260144416268,124.77434182982026,1.0
Llama2-7B,11,1,11,32,32,1920,0.030772,0.011696743164062499,0.008490000000000001,0.0509587431640625,0.0103385,1.79101828125,558.3415928630684,119.66758030668863,121.52644886858245,1.0
Llama2-7B,11,1,11,32,32,2048,0.031623,0.011696743164062499,0.00893,0.052249743164062494,0.0103385,1.8323302812499997,545.7531375390515,119.90905184997833,118.49469912126689,1.0
Llama2-7B,11,1,11,32,32,2176,0.0332045,0.011696743164062499,0.00937,0.054271243164062496,0.0103385,1.8970182812499998,527.1430485852098,120.69897914957266,113.59433505772252,1.0
Llama2-7B,11,1,11,32,32,2304,0.0340605,0.011696743164062499,0.00981,0.0555672431640625,0.0103385,1.93849028125,515.8653668127592,120.94049167778243,110.96109466774418,1.0
Llama2-7B,11,1,11,32,32,2432,0.034922,0.011696743164062499,0.010249999999999999,0.0568687431640625,0.0103385,1.98013828125,505.0152352838363,121.18205754284426,108.43993179697276,1.0
Llama2-7B,11,1,11,32,32,2560,0.035773,0.011696743164062499,0.010689999999999998,0.05815974316406249,0.0103385,2.02145028125,494.69433370462724,121.42352908613393,106.07120688624622,1.0
