Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-7B,10,1,10,32,32,128,0.0189785,0.012039469871520995,0.00233,0.03334796987152099,0.0108005,1.2279355358886717,814.3749983392149,117.69526275964716,193.79703144289456,1.0
Llama2-7B,10,1,10,32,32,256,0.0198345,0.012039469871520995,0.00277,0.034643969871521,0.0108005,1.2694075358886718,787.7690747281816,117.93612660386597,185.81279872801485,1.0
Llama2-7B,10,1,10,32,32,384,0.020696,0.012039469871520995,0.00321,0.035945469871520995,0.0108005,1.3110555358886717,762.7441955173705,118.17704378493693,178.4418543814882,1.0
Llama2-7B,10,1,10,32,32,512,0.021547,0.012039469871520995,0.00365,0.037236469871520995,0.0108005,1.3523675358886718,739.4439554798075,118.41786664423566,171.74355282092,1.0
Llama2-7B,10,1,10,32,32,640,0.0224025,0.012039469871520995,0.00409,0.038531969871520994,0.0108005,1.3938235358886717,717.450935682774,118.65875617972249,165.52108606701606,1.0
Llama2-7B,10,1,10,32,32,768,0.0232585,0.012039469871520995,0.00453,0.03982796987152099,0.0108005,1.4352955358886716,696.7206230324155,118.89962002394131,159.7529129457259,1.0
Llama2-7B,10,1,10,32,32,896,0.02412,0.012039469871520995,0.0049700000000000005,0.041129469871520996,0.0108005,1.4769435358886718,677.0739542174193,119.14053720501225,154.35911225773765,1.0
Llama2-7B,10,1,10,32,32,1024,0.024971,0.012039469871520995,0.00541,0.042420469871521,0.0108005,1.5182555358886718,658.6506529117812,119.38136006431101,149.40000408512745,1.0
Llama2-7B,10,1,10,32,32,1152,0.0265885,0.012039469871520995,0.00585,0.04447796987152099,0.0108005,1.5840955358886717,631.2750571820807,120.23232828660613,141.3114789836373,1.0
Llama2-7B,10,1,10,32,32,1280,0.0274445,0.012039469871520995,0.0062900000000000005,0.04577396987152099,0.0108005,1.6255675358886716,615.1697655879403,120.47319213082498,137.17820525381333,1.0
Llama2-7B,10,1,10,32,32,1408,0.028306,0.012039469871520995,0.006730000000000001,0.047075469871520996,0.0108005,1.6672155358886718,599.802472130259,120.71410931189588,133.2691272520577,1.0
Llama2-7B,10,1,10,32,32,1536,0.029157,0.012039469871520995,0.00717,0.048366469871520996,0.0108005,1.7085275358886718,585.299317098721,120.95493217119466,129.63753576670555,1.0
Llama2-7B,10,1,10,32,32,1664,0.0300125,0.012039469871520995,0.0076100000000000004,0.049661969871520995,0.0108005,1.7499835358886717,571.433947515502,121.19582170668149,126.19306716647382,1.0
Llama2-7B,10,1,10,32,32,1792,0.0308685,0.012039469871520995,0.008050000000000002,0.050957969871521,0.0108005,1.791455535888672,558.2053140403167,121.43668555090034,122.93750663186208,1.0
