PP,TP,seqlen,TTFT,Panel,Model
4,8,2176,18.717812074062497,b,Llama2-70B
8,4,2176,22.597302684562504,b,Llama2-70B
16,2,2176,30.642457493843747,b,Llama2-70B
32,1,2176,47.13014256051562,b,Llama2-70B
80,1,2176,134.50499018409374,b,Llama2-70B
1,32,2304,17.818682607000003,b,Llama2-70B
2,16,2304,18.40685759775,b,Llama2-70B
4,8,2304,20.170450243125,b,Llama2-70B
8,4,2304,24.310027520125004,b,Llama2-70B
16,2,2304,32.844367398187494,b,Llama2-70B
32,1,2304,50.33379762878125,b,Llama2-70B
80,1,2304,143.46788144668747,b,Llama2-70B
1,32,2432,19.171632778500005,b,Llama2-70B
2,16,2432,19.792484157625,b,Llama2-70B
4,8,2432,21.654054172187497,b,Llama2-70B
8,4,2432,26.053718115687506,b,Llama2-70B
16,2,2432,35.077243062531245,b,Llama2-70B
32,1,2432,53.56841845704688,b,Llama2-70B
80,1,2432,152.54509206928122,b,Llama2-70B
1,32,2560,20.555548710000004,b,Llama2-70B
2,16,2560,21.2090764775,b,Llama2-70B
4,8,2560,23.16862386125,b,Llama2-70B
8,4,2560,27.828374471250005,b,Llama2-70B
16,2,2560,37.341084486875,b,Llama2-70B
32,1,2560,56.8340050453125,b,Llama2-70B
80,1,2560,161.702942691875,b,Llama2-70B
1,32,2688,21.970276801500003,b,Llama2-70B
2,16,2688,22.656480957375,b,Llama2-70B
4,8,2688,24.71400571031249,b,Llama2-70B
8,4,2688,29.633842986812507,b,Llama2-70B
16,2,2688,39.63573807121875,b,Llama2-70B
32,1,2688,60.16427771357812,b,Llama2-70B
80,1,2688,170.97498979446874,b,Llama2-70B
1,32,2816,23.415468893000003,b,Llama2-70B
2,16,2816,24.13434943725,b,Llama2-70B
4,8,2816,26.289851559375,b,Llama2-70B
8,4,2816,31.46977550237501,b,Llama2-70B
16,2,2816,41.9608556555625,b,Llama2-70B
32,1,2816,63.52501438184374,b,Llama2-70B
80,1,2816,180.3612845770625,b,Llama2-70B
1,32,2944,24.891626744500005,b,Llama2-70B
2,16,2944,25.643183677125,b,Llama2-70B
4,8,2944,27.896663168437502,b,Llama2-70B
8,4,2944,33.33667377793751,b,Llama2-70B
16,2,2944,44.316938999906256,b,Llama2-70B
32,1,2944,66.91671681010936,b,Llama2-70B
80,1,2944,189.86189871965624,b,Llama2-70B
1,32,3072,26.398750356000004,b,Llama2-70B
2,16,3072,27.182983677000003,b,Llama2-70B
4,8,3072,29.5344405375,b,Llama2-70B
8,4,3072,35.2345378135,b,Llama2-70B
16,2,3072,46.70398810425,b,Llama2-70B
32,1,3072,70.339384998375,b,Llama2-70B
80,1,3072,199.47683222225007,b,Llama2-70B
1,32,3200,27.989422127500003,b,Llama2-70B
2,16,3200,28.806331836875003,b,Llama2-70B
